Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
T210	0.11428065758179	0	0.0530202589615459	0.00816224368330188	0	0.111985809145722	0	0	0	0.00840026730346963	0	0.0329250181722883	0.0124932305004837	0	0.00649058039474387	0.0845006874040967	0.0421657830222861	0	0.0789076621630861	0	0.00471432142371487	0	9999	0.0339001447578037	1.05609286792669	0.558046519756529
T508	0.0938674396302553	0	0.0250360770214264	0.022083460942724	0	0.117115708796023	0	0.0389337435352975	0	0	0	0.0421562135543107	0.00189438062596667	0	0	0.0664931563431226	0.0263930110514079	0	0.0448667346433709	0	0.00938961057910279	0	9999	-0.0361269026171128	1.09639290507901	0.488229536723008
T111	0.104396883807182	0	0.0333789581912657	0.00698572615939552	0	0.112036318903204	0	0	0	0	0	0.0429177287140591	0.0289066165677282	0	0.0120876119397989	0.0330166435352943	0.0408768363091599	0	0.0801207389398708	0	0	0	9999	-0.00808860002090342	1.07689189132213	0.494724063066958
T563	0.134075051766351	0	0.0810417927354552	0	0	0.120253000220755	0	0	0	0	0	0.0335585640339171	0.0294213080739614	0	0.00110227754870502	0.0636409533677764	0.0298950060930083	0	0.0548549753578271	0.00523065413925795	0.0212476190588808	0.0326675360497436	9999	0.0787127655202691	1.04123552704951	0.606988738445639
T1	0.194387967343933	0	0.0372727701860447	0.0872707518308074	0	0.140762944396108	0	0.0254064614351575	0	0	0	0	0.0697197789079105	0.0345025520721353	0.0288648795170835	0.110126159448684	0.0456087571582977	0	0.0625469577997554	0	0.0164030807171606	0	9999	0.305474288932619	0.954389416443623	0.852873060813077
T279	0	0.0178259413624857	0	0.0768138607007873	0	0.149704768090493	0.00875674446183464	0.0108588663779354	0	0	0	0.0620325164359999	7.89499117432488e-05	0	0.0349191034977528	0.205917768655819	0.0559964123572369	0	0.139120515425573	0	0.0418220286139619	0	9999	0.2610215897785	0.976080119067972	0.803847475891623
T393	0.10702079202637	0	0.0223275872022161	0.0701604337881001	0	0.179033870742717	0	0	0	0.00529430196569943	0	0.0433888022032927	0.038287852424946	0.0802232756604479	0.0074666455938909	0.12477437303466	0.0422812754225671	0.00369885470380882	0.0897397100617882	0	0.0150528310282393	0	9999	0.262622034060176	0.972765078304565	0.828750605858744
T139	0.084660506546949	0	0.0447454473787062	0.001558553034734	0	0.07446170467916	0	0.00937285971160251	0	0	0	0.0433698428136261	0.0291865204948561	0	0.00577535981418004	0.108419072158107	0	0	0.0975031348518037	0	0.0154968318443704	0	9999	-0.00494765793413612	1.07362512625699	0.514549833328095
T202	0.120437695321474	0	0.0534052109816004	0.0127965289700602	0	0.108444430036398	0	0.00398594214622222	0.0241497746132211	0	0	0.0700061218943518	0.0323760625678139	0.0188124903907483	0.0134785062312784	0.0799706734015812	0	0	0.0664638734395332	0	0.0253493728147074	0	9999	0.0271027538324326	1.06585836726523	0.629676682808989
T271	0.0870857581893316	0	0.0568664846645133	0.0501242514365693	0	0.151064493487231	0	0.0610740862133558	0	0	0	0.0499562858057407	0.0255576486815564	0.0390404493506107	0.000546928978673211	0.000445240900048736	0	0	0.0717473340389773	0	0.0543801204710429	0	9999	0.0718609727501955	1.05672458445196	0.647889082217651
T329	0.0907842075918111	0	0.0364690998911368	0	0	0.159989574812091	0	0	0	0	0	0.022389390426461	0.0179700239053067	0	0.0364769733742189	0.0780521013525892	0.0575915945042273	0	0.046887966019015	0	0.0264523302548413	0	9999	0.0670353377873706	1.04166403779832	0.573063262131698
T325	0.0739043320879972	0	0.0661763127494243	0.0192335006357637	0	0.141213928436967	0	0.0316487583472688	0	0	0	0.0499792341678597	0.0268214573973343	0	0.0105824101568957	0.0959649541252495	0.0526898550227014	0	0.0672207481479284	0	0.032498200177238	0	9999	0.113689146242304	1.02435091474729	0.667933691452628
T23	0.107765919742986	0	0.0441627737331966	0.0181302212149295	0	0.146852476490191	0	0.0107848672544249	0	0.0071447013867839	0	0.0683981170026809	0.0126065928671526	0	0.0106368104174961	0.138573584339174	0.0656193335928184	0	0.0614857571623868	0	0.0455703229788647	0	9999	0.112485118184798	1.02894385184825	0.737731478183085
T57	0.113808817751133	0	0.0190746369691645	0.00690098911102565	0	0.112492876303886	0	0.0138205275811347	0	0	0	0.0446595834473439	0.0255411367263853	0	0.00378824100180094	0.035693197906761	0.0489200244021066	0	0.0955142497730894	0	0	0	9999	-0.00201252470726028	1.07813145271089	0.520214280973831
T19	0.0969031625517792	0	0.0522244787603245	0.0449642682272737	0	0.118279791021919	0	0.0102019053720068	0.0264885068735067	0	0	0.00895691033772664	0.0388923627462381	0	0.0148857860238032	0.0687380951912735	0	0.000473039456062691	0	0	0.0683526049570974	0	9999	0.0120098116063822	1.07112267224865	0.549360911519012
T607	0.0666307113652344	0	0.0496942938435181	0	0	0.0809367934275496	0	0.0154946653373896	0	0	0	0.0284561484143732	0.0248889653650397	0.0042607746179323	0.014306731962737	0.0784519897444568	0	0	0.0660129916496758	0	0.0293235771329399	0	9999	-0.00072630032556646	1.06435293105014	0.458457642860846
T576	0.0775324847155612	0	0.0697793074179584	0.0707571156949276	0	0.144276258495407	0.0258308265926499	0.0172767171823423	0	0	0	0.044023627733818	0	0.00739327018047474	0.0537188953326311	0.0793115761532414	0.0299915492610102	0	0.0480617228118613	0	0.0208904928133444	0	9999	0.151115661762269	1.01778481284891	0.688843844385227
T326	0.11093004715721	0	0.0530442363465668	0.0508820691831	0	0.0717515698878977	0	0.0292302657543831	0	0	0	0.0450251102730635	0.0135828091851842	0	0.00565429882325888	0.0638919733446325	0.0449630439478214	0	0.0485919567435968	0	0.00234857362784054	0	9999	-0.019344865646262	1.08070579567606	0.539895954274556
T608	0.0801753382895885	0	0.0442991474714548	0	0	0.146590514666215	0	0	0	0	0	0.0175652808073595	0	0.00953586650367485	0.00590205385119652	0.0684070637521279	0.0253954599138791	0	0.0209679037571265	0	0.0528413742419853	0	9999	-0.0124640242412053	1.07463243918081	0.471680003254608
T587	0.0771715089289013	0	0.023590637171951	0.0323040053565417	0	0.162491092933001	0	0.026222503817275	0	0	0	0.0128180823842986	0	0	0.017827056041605	0.0923968947783567	0.024203934971313	0	0.0669639665653916	0	0	0	9999	0.0164233070382458	1.07063305932129	0.535989682948635
T349	0.0667684252702932	0	0.0597306512234693	0.00610974975816329	0	0.103622443793304	0	0	0	0.00115112447668633	0	0.028580713750548	0.015342559341682	0	0.0393393718302334	0.106703640620145	0	0	0.0327831859194377	0	0.0240624035512783	0	9999	0.00825681849664025	1.06688486946723	0.484194269535241
T565	0.101262120530625	0	0.0293595264092369	0.0179861876110589	0	0.101339901456655	0	0.0176799744408439	0	0.004258294507105	0	0.0219596139952304	0.010855338537163	0	0.008635925984768	0.0706101938906601	0.00921137168011809	0.00439339962353839	0.0371330431575812	0	0.0206273937075507	0	9999	-0.0381814117006906	1.087347912128	0.455312285532134
T125	0.0930944879901674	0	0.0412442789771448	0	0	0.179509511400109	0.00133715005412895	0	0.0076680465066677	0	0	0.0651908137975951	0.0346111989800827	0	0.00365088300542993	0.0780536789212218	0.0226409066331372	0.00430644983608372	0.0867709753340704	0	0.004113878835519	0	9999	0.0148788908669979	1.07180147900201	0.622192260271357
T339	0.13960846450874	0	0.0518912141373521	0.0539539960116098	0	0.171156728545768	0.00840034481184284	0.00780400703714125	0	0	0	0.0386230570810298	0.000931650882008967	0	0.0278747479190266	0.106249676415669	0	0	0.0768295379997078	0	0.0125088670302268	0	9999	0.103922093431147	1.03881865518979	0.695832292380122
T521	0.109669275100393	0	0.0160170429677814	0.00599004666397062	0	0.162437303399537	0	0.0419694268570451	0	0	0	0.036114818382909	0.0238631055918396	0	0.021647708061009	0.0405225400156477	0.0670621163222475	0	0.102550114321948	0	0	0	9999	0.0116302042986854	1.06876103077238	0.627843497684327
T31	0.0832848750021067	0	0.0515289131993711	0.0105474946726581	0	0.198047994485824	0.0115614532685516	0	0	0	0	0.0131880153685621	0.00686255125813447	0	0.0383874510638239	0.077421804573751	0.0499712835796709	0	0.0946354163766818	0	0	0	9999	0.119174943857538	1.02473957976456	0.635437252849135
T728	0.133468710186593	0	0.0731379847657025	0.0606611438100034	0	0.10761414415943	0	0	0	0	0	0.0342457380267912	0.0301793962807976	0	0.0123489683080276	0.0982841962319714	0.0129627077411011	0	0.0410307358392982	0	0.00608657394292376	0	9999	0.024090220917258	1.06538347608156	0.61002029929264
T85	0.133624145980996	0	0.0373041820244143	0.0241103515432285	0	0.110019297255938	0	0.0298026013024793	0	0	0	0.0369510637129964	0.00581552735997138	0	0.0124847041249631	0.0974735694373423	0.040283716505163	0	0.0413349393968279	0	0.000134906494705884	0	9999	-0.0298345582828017	1.08552587100715	0.569339005139026
T378	0.112022338264785	0	0.0472650928547996	0	0	0.0494213838753697	0	0.0349303448704372	0	0	0	0.0491690542520309	0	0	0	0.0784587557539361	0	0	0.0404891894234031	0	0.0326151112641091	0	9999	-0.0823046890494574	1.11116516267484	0.444371270558871
T58	0.16667183874079	0	0.0384589774476279	0.0384403173229862	0	0.145168366521662	0	0.00661180193233884	0	0	0	0.0146547412107029	0.019405279898258	0	0.000309364418547812	0.0611072815190192	0.013933507138032	0	0.0299412356888473	0.00972901059774616	0.0238368149823095	0	9999	0.0684046482420519	1.05909344017341	0.568268537418868
T482	0.0872515589710645	0	0.0611734308028433	0.00757652471681693	0	0.102369777078535	0	0.0307795000903105	0	0	0	0.035177672664703	0.0270192572952015	0.000116049055973568	0.0131970583788525	0	0	0	0.0359648305171309	0	0.0613534976016508	0	9999	-0.0712914791728939	1.10625406586925	0.461979157173083
T109	0.0744505115299911	0	0.0894638071749079	0	0	0.0491013507703092	0	0	0	0	0	0	0	0.0110295796967686	0	0.0476663815138005	0	0	0	0.0281216177660913	0.0399983456097235	0	9999	-0.0213745641354645	1.08964790254807	0.339831594061592
T335	0.178885356791941	0	0.037073646420148	0.0212937691907503	0	0.0930545102814119	0	0	0	0	0	0.0649275739005465	0.0307025249887478	0.0398124754380638	0.00529530959560283	0.121536977578013	0.024512794893646	0	0.119091183526644	0	0.0100295386424468	0	9999	0.121081533371859	1.03012975861225	0.746215661247963
T232	0.0726294972403851	0	0.059849482087243	0	0	0.110227051764806	0	0	0	0	0	0.0222812199445426	0.00514306275422437	0	0	0.0488754761297176	0	0	0.0170672082580281	0	0.02307062506645	0	9999	-0.0811731532553295	1.10964129309409	0.359143623245397
T92	0.156331728222156	0	0.086653751805366	0	0	0.172381293390433	0	0	0	0	0	0.0205657124028139	0.0168054401627426	0.0341537821431813	0.0259175635419792	0.101535018645036	0.0291574288933757	0	0.0325540292530338	0	0.00846737826330579	0	9999	0.0887518193623041	1.03860864679025	0.684523126723423
T28	0.0737345115423912	0	0.0929888857907509	0.101328048644696	0	0.132258751214205	0	0.0142176829641215	0	0	0	0.0206988865531593	0.00487762000241144	0.0542903637638626	0.00627310971237084	0.0126345153040522	0.0263445476125929	0	0	0.00270819363366236	0.0813971841079304	0	9999	0.0232815556987836	1.0729229413155	0.623752300846206
