cell_type,T210,T508,T111,T563,T1,T279,T393,T139,T202,T271,T329,T325,T23,T57,T19,T607,T576,T326,T608,T587,T349,T565,T125,T339,T521,T31,T728,T85,T378,T58,T482,T109,T335,T232,T92,T28,T643,T727,T405,T473,T613,T467,T60,T551,T312,T330,T12,T340,T558,T480,T162,T133,T167,T600,T408,T716,T64,T216,T289,T50,T258,T26,T233,T300,T120,T182,T250
B cell_TIMER,0.126452619014186,0.118008654970994,0.0872155281025739,0.12260080997274,0.152626479772093,0.0848018413638451,0.0924719535886025,0.0895361198745204,0.0989637724599998,0.0941021718401564,0.10177277851767,0.10274385386487,0.11300543436468,0.115126590926719,0.114863674520402,0.104819351400814,0.113831965738982,0.0921814534467598,0.0711126186449137,0.0639762419157959,0.100751689728686,0.0870393593587732,0.154784658249017,0.104996761457795,0.102035718800175,0.0992944737117566,0.1024098913799,0.0665516469447628,0.0874715896805831,0.122639052970733,0.108494098591212,0.0834920835461967,0.0913723951433452,0.0959170636172782,0.119661390243885,0.1074913423864,0.0941136031810211,0.0967173132145481,0.10498574494367,0.100204986591571,0.101898353672296,0.100456191364875,0.103120286213142,0.100073979615441,0.0826237837681724,0.0787958112554047,0.0974225374016368,0.0935253132029103,0.101894203344167,0.105549118494825,0.0987127775658758,0.0980434317676471,0.144964619809297,0.108577718170754,0.0854050287608174,0.0288815937999434,0.100077210055071,0.115724207552813,0.105061275012241,0.108141581103669,0.0971575965177789,0.0775126885055048,0.102551513024995,0.0971423919088166,0.0835171925501538,0.0893711844272011,0.0791346841816598
T cell CD4+_TIMER,0.112506440785373,0.113503622009911,0.0927553828799059,0.102731764586665,0.154699092450415,0.122981018825868,0.126416385468311,0.111908185620708,0.114156718211214,0.137713700390834,0.0980737863869787,0.106805074476321,0.140481065363223,0.112019166698337,0.110344214878421,0.102088668870376,0.120559825976199,0.0918690310220935,0.0986753986658545,0.125537050698518,0.083470764437536,0.098638798416703,0.0837601726892256,0.163203624404924,0.130538387882512,0.113826990807591,0.121355976484877,0.11138379387448,0.0943376862229945,0.10574933713195,0.102945668484399,0.103533398827918,0.119017358069159,0.103789429534096,0.134705285124994,0.122168501709256,0.111533054034191,0.107723870155953,0.108465232016143,0.101806458165367,0.1094398716963,0.103669174041252,0.165013739822737,0.127761516319995,0.125438569147241,0.105367750618797,0.134750136707962,0.101797754317605,0.114488428616676,0.0953316146201231,0.124671963872069,0.135129618671728,0.153474474287531,0.0986393496792036,0.121020560723323,0.135175099419079,0.0906772174945786,0.119974133083284,0.137290278729113,0.128892024356177,0.10040077358203,0.145036361790652,0.118123118561492,0.0797310132476973,0.0980519244292694,0.120135112912144,0.132807662424452
T cell CD8+_TIMER,0.221859182630183,0.19934574461581,0.214763375980354,0.227560031991655,0.202629648027789,0.239262323062373,0.227116304242595,0.207853153504984,0.204747598581513,0.24286435086304,0.188234518047001,0.197346908186707,0.211913623215412,0.204190232985854,0.210677638886736,0.202374569899166,0.226917581909798,0.210249640748901,0.217475196854172,0.224871199223627,0.196078106037197,0.197068951285828,0.21996206532439,0.193683281671139,0.226795646064109,0.211605265883809,0.198057918604139,0.204369084925511,0.181240815066481,0.210124289213116,0.207618320317248,0.188714525106683,0.189732917318572,0.2102973635799,0.226656536659084,0.224869513146789,0.203523643931596,0.183325380562974,0.197635623064495,0.20505599727278,0.198513117507285,0.213999869296199,0.215349629547528,0.184967474757784,0.19456733110928,0.17099831696523,0.199822754432821,0.216806900388852,0.189782939393721,0.199003105836555,0.209704881038152,0.194061976046074,0.214221101698247,0.217618034519101,0.218952829795931,0.246273806185624,0.197603571960229,0.220720488308378,0.221730909190433,0.194783626300319,0.212755606123665,0.202844957606483,0.198980622204919,0.210586569184966,0.185825499825498,0.219388487932176,0.200484344397906
Neutrophil_TIMER,0.119141178221198,0.121665155717252,0.110594224082388,0.140965518481129,0.126963884737494,0.129267770370347,0.13157693924366,0.126540636460906,0.124583201416192,0.130029799255418,0.124195263062721,0.12405472628009,0.132866421430452,0.128211692052095,0.125323492364451,0.122741598111571,0.121022757662725,0.120745610450526,0.10197289366591,0.108592629128546,0.11550008290674,0.114419131368664,0.125235004493301,0.157012083497839,0.124966036966406,0.123193074199079,0.132496491535399,0.107027731216609,0.113684181707484,0.126044754018402,0.13215981963504,0.119682740014805,0.121425841107727,0.116128940252773,0.128948881716393,0.140228552522616,0.116331944574186,0.112521123787123,0.122256626596992,0.123721258740101,0.122543752625315,0.127222862899821,0.143726255223744,0.121111088358686,0.113401774732728,0.110609612721175,0.124833435634974,0.122678621542603,0.116021127263257,0.127818310483279,0.120022932493959,0.120717009461753,0.119022952282221,0.126799610929678,0.124152456208508,0.0845488364231584,0.127564596181693,0.123653927742195,0.118995515234467,0.133550131435858,0.121897748100743,0.122987096040715,0.127015937072448,0.114592398005111,0.115780857220197,0.132055169742456,0.115734719233299
Macrophage_TIMER,0.0626145828926406,0.0660038146878626,0.061602090736159,0.0545722636834276,0.109190610505704,0.192506202886897,0.0927607496227071,0.0434502019044636,0.0377763404243777,0.0680974016796776,0.0562422767000242,0.0562303266689132,0.114872520643872,0.0461382211391983,0.0587029479520222,0.0339160288030007,0.0630835706364375,0.0610463794844808,0.0148907566186367,0.036866015585077,0.0546058020655888,0.0147567263296458,0.0693642566671244,0.103917513119364,0.0564059810765443,0.0673262405742446,0.0722148691961084,0.0337581441186926,0.0504005924490045,0.0640381549221826,0.0440204414863647,0.000681330634404432,0.0762158477757296,0.0500721486102833,0.0789310024259222,0.0629785797466621,0.0418983208188727,0.0403453122900748,0.0274064325557456,0.0181655347146975,0.0348441394660375,0.0459764692953466,0.142514668762905,0.0765402602713385,0.0456914517134047,0.01427333705642,0.0484084657186098,0.0598275419296353,0.0860276518995639,0.0337971594623978,0.0428093333434574,0.0503525145640504,0.30308613118925,0.0450644511877424,0.0818457080708322,0.0145317273647188,0.0374903397010326,0.0542707563217256,0.0704624885023193,0.0714925764892431,0.0594429020353152,0.0835657294733723,0.0690247152889601,0.0385510732193948,0.0140574259254115,0.0644362861189698,0.0407120833590824
Myeloid dendritic cell_TIMER,0.482075486457931,0.470843071566891,0.512120568598771,0.486971158055015,0.502144063785311,0.422765692729822,0.494062180273264,0.475224888675225,0.479130413362284,0.484452557466349,0.454497099344894,0.478069973602175,0.45301511566302,0.461555864675036,0.486174599190053,0.461916830414257,0.522390331839828,0.484112665773545,0.529101830236295,0.497079186953702,0.484843458462284,0.48851545480634,0.481631871310611,0.418194498013619,0.504306125703517,0.475906194652043,0.479849688338393,0.531635820493482,0.487041359003562,0.476140268608468,0.443472660445391,0.46916112115714,0.500494187156131,0.469346060922115,0.486202206522451,0.472260402811797,0.480309300247928,0.491861448541431,0.464718484395457,0.492344378713686,0.450130014488561,0.477620270858789,0.499820726943848,0.498745416121341,0.5075341804946,0.460934368136895,0.462051928502775,0.479051959955172,0.508040434249325,0.434487849335083,0.482641091278293,0.481047996497184,0.594882525956823,0.463586809773933,0.462853141911833,0.587708021392584,0.462276428191501,0.502321752830544,0.492035463237571,0.47549456811604,0.476495630375557,0.49482171554114,0.449083681444781,0.479510178371256,0.463788200680522,0.454063462841796,0.489026996618463
B cell naive_CIBERSORT,0.195236076904588,0.201819078328546,0.192907925189499,0.202519736679998,0.173998496211987,0.0102176070405144,0.082882330857032,0.150481727388908,0.174677705098501,0.245038169199199,0.102835741182917,0.0792923329471607,0.160653300558952,0.175524518182374,0.110349198951551,0.166496054280521,0.0935589287232931,0.206022708530567,0.19993484269184,0.10104237515916,0.168238042977374,0.209682876637531,0.163155252019613,0.135735170145255,0.155516399232989,0.0854501499939112,0.20770586960306,0.181943055586625,0.0609630104016345,0.233845439531587,0.211097705846799,0.26676944162165,0.174867190085353,0.333784910069545,0.208988832465264,0.246800257623321,0.102080092573455,0.120744929607317,0.136487021463078,0.247712505450599,0.244662054687325,0.0614793624491896,0.144666364046779,0.235961728390852,0.19248459529666,0.0852690301316897,0.229220070982171,0.183891074752709,0.0834196453136159,0.217120058763811,0.158776624280527,0.200921292465168,0.0975574786808739,0.172377514270611,0.182559402891425,0.103122466076367,0.32392321589886,0.150957616981529,0.22024852153332,0.200226028451484,0.192357443054783,0.183300274717654,0.178738795193425,0.141674187938142,0.239194487149372,0.283952607053633,0.283605969419396
B cell memory_CIBERSORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B cell plasma_CIBERSORT,0.119528622570237,0.0486948746215979,0.051041258564285,0.137847353390498,0.019048147589616,0.00147474275420496,0.0180166520038378,0.111499369227806,0.067092087531074,0.0729999208429147,0.0536425295574914,0.0703524190141118,0.0347550822960203,0.0271902740238192,0.0420690109108477,0.115573214365437,0.0982924893076985,0.0820638083653452,0.0802167747243794,0.0356269996736676,0.140911693817561,0.0730067475642396,0.0605139504306259,0.0571938798981996,0.0252202394154547,0.0542493972022293,0.0924279145589598,0.0815713158015312,0.135320809760266,0.0705161634387919,0.103466732709179,0.198615535255699,0.040938043460931,0.172247608317417,0.155705307193362,0.143412818606475,0.0369394226438966,0.11037629709058,0.0712542762029067,0.0581208446016323,0.116773698269325,0.0544096864664163,0.0506724865878254,0.140771462374211,0.0517686880069728,0.0807642759158803,0.0977267353185379,0.143661087063674,0.0550651738700115,0.0936020333746345,0.0360619378705778,0.128225513344089,0,0.0679508835802973,0.0790329450114019,0.0643885345900748,0.172173580941669,0.0230344990386811,0.0389209785901311,0.0744127348650537,0.0633927271145517,0.0677513135584773,0.118884567762042,0.104713561246832,0.180235871062353,0.125861064250516,0.152840554238186
T cell CD8+_CIBERSORT,0.0283257968598855,0.0378847115058083,0.0125777678947071,0.00133556508111056,0.0699402908597491,0.0834475275454888,0.0542001460155432,0.034035684772513,0.0500799224636923,0.0989564301848232,0,0.0268559845214342,0.0982357320341046,0.00898654165775688,0.0960474855183832,0.00638400191814738,0.0959290318024358,0.0801751323107145,0.00834310552343483,0.0447109208732012,0.0118280715324075,0.0204593287275942,0.0450638356724654,0.119574137964648,0.00353710688813433,0.0135215789546684,0.0972524894452004,0.0435314931472863,0.00713629042601613,0.0597972166105303,0.10605699013727,0,0.0309881556935561,0,0,0.0164084909896289,0.11523700813101,0.0279147085599805,0.050736405546535,0.0128711285164173,0.0609979246066513,0,0.0916375230903967,0,0.070920296066024,0.0230092906281965,0.0486259386154489,0.0374707301169317,0.0177405321661145,0,0.0570435655418747,0.0188387872995713,0.047769315547435,0,0.0201218407065893,0,0,0.0645992139174929,0.0503394010513346,0.0407831838574143,0.0206935949475403,0,0,0.0358182892410367,0,0.020823321286393,0.0903707211858843
T cell CD4+ naive_CIBERSORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T cell CD4+ memory resting_CIBERSORT,0.179360255550717,0.300654172301809,0.191702516022284,0.229910327875544,0.317893622821045,0.24769720367774,0.29520383322597,0.104194537790349,0.193366872125169,0.245882992196423,0.29187715583323,0.235045680092277,0.247423718508815,0.182594693592998,0.403817846691861,0.184586650817915,0.324923022829304,0.221643497512407,0.257736593800967,0.291685729325845,0.148047570615217,0.207168284933819,0.225331622576778,0.386462690489163,0.25827698128443,0.294459955713026,0.141426214839538,0.205869428712247,0.363026053732505,0.307211165935358,0.106563565268988,0.180001298757504,0.158912227548467,0.209414890604358,0.312613050713839,0.238092484682244,0.313108154889719,0.15796697503426,0.242172068349496,0.189133821904907,0.199282098094184,0.277834854687354,0.208694845829038,0.176962946738623,0.179204581845765,0.148899925027362,0.300467686626136,0.175725595666586,0.335829521704572,0.218942995822288,0.340657790962879,0.158228746292003,0.16156399832418,0.361144560956838,0.120735850727647,0.215215563442019,0.126350133943203,0.229534836808029,0.292567264052373,0.198509949761151,0.22752199674026,0.253266697063572,0.332954135697649,0.170251297179343,0.13421308124645,0.204010377933797,0.169005294904549
