cell_type,T373,T342,T434,T32,T6,T314,T487,T71,T513,T286,T574,T595,T502,T229,T61,T69,T124,T186,T209,T34,T391,T659,T72,T399,T605,T10,T114,T201,T172,T509,T431,T496,T577,T18,T319,T265,T166,T78,T103,T178,T231,T334,T705,T198,T498,T283,T96,T661,T729,T123,T438,T375,T132,T318,T185,T273,T67,T160,T384,T585,T237,T54,T637,T515,T62,T84,T47
B cell_TIMER,0.0915005546290358,0.102345445661133,0.0601826034107736,0.0633688263258958,0.117291060498901,0.0926675845071854,0.0905892549001494,0.0716913074885834,0.0706715219435591,0.133682928431808,0.108785387239102,0.0776379112667973,0.144332904241624,0.0888824680146145,0.0982550138302015,0.115432195614399,0.102276109154039,0.0904794227385464,0.119310618498297,0.125326894192625,0.0969511165810746,0.113840336714723,0.105674722332139,0.0813000460254082,0.118402076576303,0.100091758556733,0.0969707150455639,0.104048182958278,0.090219857081194,0.105160834462195,0.0949593299899903,0.0967116852045207,0.0987705741110785,0.0873422687952788,0.0991105817011244,0.107784795332731,0.0978110644045921,0.0992731328450912,0.099131160400267,0.0910429817892023,0.0779215958371031,0.0961268906496183,0.143477944613613,0.0959408003390582,0.0719064753821974,0.108604331614669,0.0951655554579764,0.0939380592834156,0.107769706575658,0.0975045378906325,0.0625768421596675,0.105951028455344,0.088924893552974,0.0742577871641037,0.0872579533896936,0.0897478000506994,0.118191472749944,0.0988710520102271,0.123242820299192,0.116241229101735,0.0859775166289129,0.128945849388839,0.127014418860048,0.101921863456887,0.0949531312727347,0.0991520976224336,0.125567870847906
T cell CD4+_TIMER,0.108192794455445,0.129388865953833,0.115718587164961,0.131280247906458,0.106601485486627,0.134455320429558,0.152462229550437,0.111630309523341,0.128747630343464,0.144610334675451,0.0870167916302599,0.114981305760022,0.157381343447949,0.103967501966798,0.130457814524549,0.0996287343243315,0.0865799301474278,0.0967530670624673,0.0995740172164818,0.103906452675539,0.116177332240296,0.121697220522567,0.0955422872235691,0.0923025494166111,0.120669554336822,0.142921002562758,0.118832735152622,0.0860660271775936,0.10497211075388,0.11794782750534,0.125084628404243,0.176265634674109,0.127817579755479,0.159016619442526,0.11068369501348,0.0978512222785953,0.0908768040076268,0.0868186477903698,0.0935635095584738,0.129666244932075,0.119149947244835,0.102067682240502,0.100724241005713,0.11848694489286,0.154937791564641,0.10707759822913,0.0806876828039504,0.0962143641944014,0.107377238388779,0.115762960511614,0.13164459331832,0.102953679311577,0.118723058963313,0.139196168802051,0.139551524978055,0.0963628008398689,0.128105485845597,0.117010035852542,0.116366682850311,0.115413306485794,0.0969249019633864,0.128589205580509,0.0936820971903522,0.0986622023528534,0.107038843548268,0.101060383804004,0.142289708483913
T cell CD8+_TIMER,0.188632892059085,0.191462536615168,0.238596755192394,0.207778536355817,0.190988261044699,0.194773599224197,0.21154274533449,0.211805536133542,0.190465731658487,0.23152772815063,0.19324082391047,0.237443644636428,0.208314196485944,0.201900030119137,0.231994199688824,0.206418603360461,0.200418662860044,0.207765661252887,0.214502211926678,0.18297237337056,0.211824429346715,0.190991221818186,0.215022691898636,0.203776991200047,0.225036251227476,0.217504210572696,0.213294154794347,0.188661757235643,0.185473146268698,0.182414718010118,0.212571649264095,0.223382936393482,0.212085848857259,0.231240153424635,0.214672033401817,0.189439702792635,0.202183914564613,0.193081494082345,0.199954226763542,0.204696613962172,0.206938198452458,0.195771325785579,0.222073698056667,0.199925532402004,0.185412216281385,0.194782763180362,0.235969622860253,0.198976442294535,0.204070193300684,0.208983240623143,0.25433773174602,0.192682358478472,0.210722272468694,0.199549910620186,0.200722265929168,0.201791024217681,0.213815025882552,0.201623958421798,0.224825752418071,0.193051657074849,0.209572919902911,0.227846791152942,0.206388480226191,0.189634304027684,0.216659766602353,0.227689030987234,0.23368370699972
Neutrophil_TIMER,0.119151349610737,0.122010098915381,0.107584749979833,0.100507092973306,0.120311470063686,0.130046574551538,0.123585947869501,0.106778015433843,0.11891807111457,0.138453476416013,0.121641479945621,0.122970297752571,0.122800252997722,0.118674300679962,0.141273143521531,0.132507154678885,0.117987088144723,0.120188931831017,0.127521336758395,0.117800358514191,0.123857171600743,0.125098968299553,0.126237247873763,0.130215011344965,0.129591406994578,0.128238228537084,0.124600726143931,0.120733743135434,0.124102669742364,0.122526589841566,0.125051483348925,0.148056585984675,0.123462015848658,0.138348862879075,0.121102696812504,0.115221055246684,0.127743384816201,0.118477863447419,0.132546260247693,0.117598948039514,0.112449248326618,0.112935917726476,0.128476045846995,0.127113078682997,0.105654285327226,0.122824307377291,0.130125577579235,0.121411223295231,0.116175101563492,0.121729369664356,0.134527352307357,0.113703044129055,0.122206532312892,0.113025221942716,0.121376730894049,0.112149185607128,0.138310772831721,0.12532197008085,0.127806799621955,0.125744073423636,0.115952650945522,0.115871952300114,0.124108070296831,0.12409805751558,0.118857946189831,0.119288435641318,0.126612979565794
Macrophage_TIMER,0.0525783969307312,0.0760352065656367,0.0465501913483489,0.0462686159840092,0.0699672062791096,0.0715959459322039,0.203096967365123,0.0457140619152907,0.0437966797840176,0.0885221639996337,0.0218524496140262,0.0537030920714617,0.0787202444466063,0.0216590944346892,0.0916187039634102,0.0406953269924007,0.0388298683489039,0.00303073733875769,0.056177281449024,0.0378848155928172,0.0601044317165015,0.0325274442692498,0.059599532004999,0.0408918808087593,0.0529886582597115,0.0715644469948794,0.0703635906849019,0.0142021989247506,0.024386210289968,0.0522837850180636,0.0374282569751118,0.279393875257776,0.0704469759575332,0.172014482832032,0.0569216889292478,0.0224314843281621,0.0376420183177906,0.0264694627762741,0.0362558277819329,0.0316730638915507,0.0611370832808065,0.0334031727165932,0.0520912018035735,0.0459006548002048,0.085556993678833,0.0566134508009449,0.0341536275265659,0.0276514932968814,0.0613650670333728,0.0567933856329704,0.0874885370541893,0.0645002487656883,0.0477668294801578,0.046967411373618,0.0910801294435741,0.0367352857380741,0.06648497275949,0,0.147229636629112,0.0496141874649013,0.0920488326655891,0.123464638217317,0.0500071204111826,0.0368672859727162,0.0701365994111455,0.0669169008031029,0.0591872348039117
Myeloid dendritic cell_TIMER,0.461817720740517,0.469522120833747,0.498925626541751,0.531374012162403,0.472573029403202,0.45144343181835,0.50925168025959,0.529054410098146,0.523458261496725,0.464835049495048,0.464368342896054,0.509434431274353,0.514780069045516,0.465358437275565,0.47632895034461,0.442923201344574,0.464977106584825,0.453038567562821,0.48692348083334,0.472503647780005,0.485773920898934,0.447559481144246,0.469510787926228,0.485347295160045,0.499786491389752,0.471521206797746,0.455990698814988,0.441252795982576,0.44654619017365,0.546102921631266,0.508031931609513,0.476534909797821,0.463510101212376,0.480846723684706,0.462548560055629,0.465902385425393,0.44220604004906,0.443918002469961,0.472236206443519,0.492670302202003,0.478175742875517,0.476754036825743,0.520283946073788,0.465741481208579,0.592229221745392,0.446234439952456,0.504491471075881,0.471842868742917,0.472407197234685,0.476921400048625,0.554244464074614,0.495730295824925,0.474423757942099,0.507874302429732,0.480431401629926,0.485438420311296,0.447391639879845,0.480590871622885,0.464821751351115,0.466671756095412,0.471929981151481,0.512873881717999,0.483138552336567,0.458542228535007,0.481012746060885,0.504663520646628,0.532657440300864
B cell naive_CIBERSORT,0.295204926596347,0.16895737643244,0,0.168737242687851,0.233044652593176,0.154154991319967,0.0679117865825752,0.156297160849223,0.0942133002301416,0.139521517098354,0.113573579092065,0.16803548238445,0.125378942554432,0.19870265087794,0.129686487183903,0.156346790558893,0.126377918461082,0.208926531325118,0.145042685077253,0.0572217041978273,0.195330940380756,0.197576299321096,0.108542673889924,0.146664311401776,0.0369086879338481,0.104585983139997,0.180396970372315,0.133971970722051,0.207977606323377,0.204560199875344,0.201268248818406,0.0541640212179753,0.127541189882838,0.0903188932007037,0.187775448989111,0.101125484430307,0.19834820581853,0.127627491179545,0.119448038388668,0.2982445169216,0.113788739151581,0.139582952979599,0.140230414337875,0.220617619033073,0.152744960048528,0.0947964945594232,0.275366114773533,0.130807450300485,0.165681657166261,0.266489697387345,0.120187130285862,0.113003990968134,0.138030183432526,0.195548382994543,0.253914666396478,0.140053980457542,0.106942073855075,0.230742697569607,0.0759927603108565,0.152923965852523,0.115410082675046,0.137208014734137,0.115191852065947,0.190291123258162,0.152629754513117,0.239080058992519,0.137369723474848
B cell memory_CIBERSORT,0,0,0.0951728525294389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B cell plasma_CIBERSORT,0.171091107337788,0.106303323357077,0,0.0594795393326525,0.0962148313494657,0.0619770200359389,0.00959328885914633,0.0692004214173917,0.0832412680870565,0.0447937280705966,0.0699092657405056,0.0204840125510242,0.0235068383652891,0.0796805704230515,0.0657508095116235,0.0688571462412968,0.0337544593798451,0.117917985056888,0.0443791905044662,0.0529454156573695,0.0134238597913637,0.0293821660019154,0.049449506642278,0.0791345648668156,0.0286216432007097,0.047287874368156,0.0416733631269943,0.167599288903045,0.156330711597214,0.0664318170570109,0.0189976631905041,0.0160639649002061,0.0928146397095241,0.0204951485722969,0.0735974918403252,0.053218906191386,0.0943650658430322,0.0715095579638909,0.02195734955751,0.0857497144198291,0.0421816554400215,0.131667074603087,0.0270709694010994,0.051637478457405,0,0.0638894728739126,0.101201375939341,0.0722239003708778,0.055198771304348,0.100441477522445,0.00983880192654,0.0583532607143632,0.0366356157216255,0.0932327669425906,0.150572367779665,0.0880520224397321,0.0246900303352087,0.0734915334377607,0.0100173378863021,0.105334219800087,0.0571184065977031,0.0362842133128648,0.0338664799594052,0.227701886803335,0.0511354196532973,0.12946400600842,0.0261920456191222
T cell CD8+_CIBERSORT,0.0210032520835714,0.0904825223499907,0,0.0790756200435652,0.0131531785524751,0.0512134089822051,0.0491506889843745,0.0400818600222819,0.0415653488906646,0.0472870467896732,0,0.0190704619982817,0.124537849284981,0.0309811450641703,0.0175125516440658,0.0990486129076511,0.080982037019375,0,0.052831376134,0.212775074520371,0.0392046161209229,0.0807762428255012,0.012051357411114,0.010080330660613,0.206691998898387,0.0849776749043501,0.116214796094795,0,0.00844126366074629,0,0.105208766422587,0.0560174334201939,0.0512804692531033,0.0894166591436805,0.0357358976062423,0.0480350927764946,0,0.0476721348008749,0.0653323563635145,0.0177854654776548,0.0572699681517342,0,0.0664549923681252,0,0.177996037739293,0.0159582467958691,0.0563224840773048,0.0756821399039418,0.0421607376559583,0.0231004011357692,0.115395723261183,0.0739166963199002,0.0667561939368559,0.0302560242468686,0,0.00829322143577041,0.0323675901516049,0.0659645482620255,0.0485775963524364,0.185982304404899,0.0262159249500737,0.120122693377426,0.0438502921929976,0.0607839830588295,0.0656088408274428,0.0323164146754392,0.0392129596259934
