"cell_type","T210","T508","T111","T563","T1","T279","T393","T139","T202","T271","T329","T325","T23","T57","T19","T607","T576","T326","T608","T587","T349","T565","T125","T339","T521","T31","T728","T85","T378","T58","T482","T109","T335","T232","T92","T28","T643","T727","T405","T473","T613","T467","T60","T551","T312","T330","T12","T340","T558","T480","T162","T133","T167","T600","T408","T716","T64","T216","T289","T50","T258","T26","T233","T300","T120","T182","T250"
"B cell naive",0.10116682372437,0.0841739699313185,0.0809624869367332,0.121265901109685,0.151839900284782,0.0106787710658338,0.0539483513199738,0.0768254820327837,0.0965851341258499,0.1537025165778,0.0481510347000062,0.0421991937232558,0.117853416088674,0.0730381871059783,0.0544458730149217,0.0701899924989017,0.0588404551153109,0.100120561229479,0.0642416345832922,0.054357068727057,0.0701405536662135,0.0622739022629209,0.0886387172745069,0.0966720893061135,0.0937973168573386,0.0468400281114697,0.131100324994885,0.113064204821859,0.0387114154131143,0.130789552825192,0.111389531263603,0.0754602839077734,0.0871254161154519,0.0973462182920518,0.140848703751657,0.143491276051933,0.0468341660391434,0.0611483359500605,0.0552907816742656,0.0881970431275672,0.0787995988945612,0.072281238251927,0.154623459131494,0.138533567066583,0.0825995516120086,0.0208742065847448,0.124640277361611,0.0795624468281451,0.0501970075960279,0.0702249049035064,0.118381511491309,0.100264528045365,0.138184645206059,0.0858383560148706,0.0937501119966178,0.0340765234376415,0.129748714355682,0.118576235388538,0.141745464346316,0.117653987382686,0.080725105355636,0.1163057846384,0.113571643533869,0.0609886190655359,0.0738515790760055,0.131475849646549,0.114284900610975
"B cell memory",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B cell plasma",0.0438990256684758,0.0202275347415049,0.0268131395143316,0.0874281445304627,0.0164817693497641,0.00154838930155681,0.0118125420403272,0.048551090764723,0.0360804412984956,0.0449199961098265,0.0184701477386433,0.0452447655800653,0.0245349325619973,0.0128278601432625,0.0173610102561753,0.0511883738382852,0.0720579706066295,0.0365246091204808,0.0255363380120058,0.0193789603338742,0.0588341681133732,0.0214691341017303,0.0286133914345205,0.0400700486940333,0.0141055261071043,0.0278437273513474,0.0499907410008781,0.029964258770082,0.0628934484954443,0.0330962499145705,0.0348181260652928,0.0571657477874052,0.031856781273722,0.0612367825614298,0.108454818167999,0.0825848788196495,0.0159893951571849,0.0480090638911243,0.0276459059215687,0.033620535554494,0.0366905265869519,0.0385223791702344,0.0526175911334378,0.0647093930103236,0.0318558286874531,0.0192171770315263,0.0532048247658582,0.0620867401257206,0.029303989016468,0.0260854709601952,0.0172994074837347,0.0573553608814314,0,0.026905222659682,0.0384799461762012,0.0195786390041806,0.0680082254820575,0.0194309108560932,0.0368282781326857,0.0445193477161934,0.0251338696600154,0.0397881870116279,0.0543187206152288,0.0344154064840587,0.0517392345207764,0.0557684853783674,0.0640708263581983
"T cell CD8+",0.0070723296554712,0.0152270381469308,0.00526947053616829,0,0.0605457085550552,0.0593727848600748,0.0339970975365274,0.0178497773899972,0.0274464217471844,0.0603355699149799,0,0.0129711971497246,0.0730970311200768,0.00372715722642881,0.0523548907119379,0.00199613819738206,0.048367846451279,0.0343315353567578,0.00360673095991551,0.0190089301863822,0.00810407642971039,0.00552265345688659,0.0225214279823042,0.0758584637978916,0.00314283711399096,0.00693386043199525,0.0525588262362991,0.0144934900518305,0.00395172262894259,0.0273686265337892,0.034535865007541,0,0.0237936327547697,0,0,0.0106465374377134,0.0468212519744484,0.0119029691551753,0.0194061978750969,0.00532880166480392,0.0138399206454065,0,0.0950922909289858,0,0.0301241540357938,0.00652874820942629,0.0265155468661064,0.016159713697073,0.00873461319376278,0,0.0124564780399979,0.00795352608161377,0.06629591289339,0,0.00897629662445952,0,0.00394229582038247,0.0425379458722833,0.0316326426080955,0.0386033882270058,0.00466014847440339,0,0,0.0120859907650304,0,0.0126304360559372,0.0257141143917419
"T cell CD4+ naive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T cell CD4+ memory resting",0.0962261922646179,0.118378763964608,0.0779617080607183,0.0849939891328784,0.276295992310168,0.157832507030354,0.189614648843259,0.0419376163683112,0.105301898060371,0.150878666221104,0.124361688877987,0.112008322443992,0.167456542330361,0.0685401252036314,0.168797145065418,0.0616642081564914,0.195911127660498,0.0828651416090148,0.0917577819277462,0.0956595948346431,0.065079398004634,0.0598127070386184,0.113906437630447,0.248563701918786,0.140875646932472,0.149504958879228,0.0705365414925324,0.0778344898877555,0.130640141879491,0.142841102710537,0.0399225508511087,0.0501709537192591,0.0991359043419288,0.0659636134781269,0.203682710549435,0.135403975406549,0.13645623561633,0.0708605489277011,0.0944891223954871,0.0778932898834511,0.0686353553753218,0.0742854766755618,0.218142192829807,0.0683285199712487,0.0754828566172169,0.0338986863476583,0.161326228382866,0.0756323081460424,0.171349910701533,0.0555646571214181,0.182827223744852,0.0734152926235689,0.205077903425958,0.149668418104891,0.0599769720775071,0.0696140547730847,0.0509756980618537,0.166628894970624,0.1502337520408,0.115116643964517,0.0861898979076785,0.14387588801716,0.147207225771035,0.055996518688079,0.0369085578881766,0.0866396957545131,0.0869382557650571
"T cell CD4+ memory activated",0,0,0,0,0.0106529413445699,0.00327301560289847,0.00793314343927934,0,0,0,0.000603240009578822,0,0.00257136288683083,0,0,0,0.012779784794321,0,0.00161291192201684,0.00253831322047784,0,0.00353256970706488,0,0.0158861188973748,0,0.00814993904423053,0,0,0,0,0.00154741744428245,0,0,0,0.00220119846086491,0,0,0,0.00628866951031751,0,0,0,0.00101092542866633,0,0,0.00759271551219919,0,0.000657601897148832,0.00961535473250168,0,0.0103946408735383,0,0,0.00133177945675786,0,0,0,0.00781260659293643,0,0.00468098617387667,0,0,0,0,0,0,0
"T cell follicular helper",0,0.00358458479229509,0.000185795628468861,0.0108617560472008,0,0,0,0.00843713040045123,0.00562267834738206,0.0372852978357971,0,0.0208518834690754,0,0.00876975960605653,0,0.00488551247568827,0.00138812981661647,0.00982439635729789,0,0.0208506468049724,0,0.00903943056713395,0,0,0.0315199699930542,0,0,0.0133008711081651,0,0,0.00748927469322839,0,0,0,0,0.0305277537947344,0,0,0,0.039637268571563,0.000593102212087004,0.0330503942783358,0.0599513862809389,0.0275724411423193,0,0,0.0130628503933225,0,0,0.0115108251971724,0,0,0.00178263820917887,0,0.00995275829102337,0,0.0142554751820157,0,0.00986619998197946,0,0,0.0154467298890183,0,0.0162059914529848,0.00891812301641566,0.005697989513687,0
"T cell regulatory (Tregs)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00251283115285992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00649904515000574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0040844684630523,0,0,0,0,0
"T cell gamma delta",0,0,0,0,0,0,0.00318854966241029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00343644285964851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NK cell resting",0,0,0,0,0.0199905647150136,0,0,0,0,0,0,0,0,0,0.0341780050935021,0,0.00557855857409814,0,0,0,0,0,0,0.0202229411117083,0,0,0,0,0.0156370290950107,0,0,0.00181584889219407,0,0,0.00173632487460099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NK cell activated",0.0150983229105348,0.0271046901166175,0.0294372499073348,0.0203667218787806,0,0.0271052709187457,0.0228875344857869,0.0316154730662666,0.0477581667152373,0.0285898487710521,0.0111757868000453,0.0283345669493791,0.0400660676088523,0.0250624680989276,0,0.0180325797555865,0.00775691143158277,0.0312178523848515,0.0127144627532283,0.0078771195083852,0.01798296105711,0.00909412035532311,0.045295835150687,0.0146622233031613,0.0238463716256248,0.000523022490000258,0.0330830820912586,0.0183235934481694,0.0153914003051271,0.00626967064153174,0.0376221907802311,0.00657660943233822,0.0402125225788112,0.0146608404162187,0.0004058940706268,0.0434107915143645,0.0282599227411938,0.0239618161116596,0.00848721334463967,0.0358032640149391,0.0297389858935653,0.0352161267762992,0.0504812866155614,0.0309739356263038,0.0260857644343151,0.00630350140695474,0.0248304780882187,0.033439557178305,0.00598153937877435,0.0251305137287181,0.00709389156270589,0.0253898234836356,0.0321843754435406,0.0167335135544576,0.0390955563131014,0.0222689783755948,0.0380695388983035,0.016680441520181,0.0233230945397022,0.0255498727047447,0.015047115814328,0.0283338256369915,0.0269634549964865,0.0285562386748063,0.0200972670081459,0.0255880619477938,0.0321717757482096
