"cell_type","T373","T342","T434","T32","T6","T314","T487","T71","T513","T286","T574","T595","T502","T229","T61","T69","T124","T186","T209","T34","T391","T659","T72","T399","T605","T10","T114","T201","T172","T509","T431","T496","T577","T18","T319","T265","T166","T78","T103","T178","T231","T334","T705","T198","T498","T283","T96","T661","T729","T123","T438","T375","T132","T318","T185","T273","T67","T160","T384","T585","T237","T54","T637","T515","T62","T84","T47"
"B cell naive",0.151708799990553,0.0916333408505907,0,0.0851480127403107,0.115452191803703,0.0799399026763755,0.0616155386015545,0.0730788956416548,0.050871522720092,0.129072471371416,0.0365843161689752,0.0758377750332031,0.130200549963037,0.102346349849613,0.117284294707394,0.0488607210748636,0.0693097789899805,0.0602887085253354,0.0876713404700191,0.0614227188289496,0.119573409435443,0.105652585481089,0.0525647619286904,0.0656352916593086,0.0494504030769115,0.0816982477456594,0.110135606457047,0.0334224486204791,0.058812930930851,0.157526611305173,0.143821974182931,0.0630858378885885,0.0662305077030244,0.129514847142615,0.088629855479906,0.0459545562324514,0.0819443466636059,0.0596546498973707,0.0041446055075259,0.164220649447745,0.0643530921685202,0.0636095994825265,0.105131402582352,0.108583194382884,0.131751349378865,0.055731424916885,0.1340632782767,0.0721067735003343,0.0803940197043314,0.107519770564494,0.113398995861286,0.0647237900671484,0.0701855141176402,0.0794676882110567,0.151165869376073,0.0565554754542484,0.0821931213445825,0.136842452410012,0.0594816937206754,0.103441804508942,0.057452130509101,0.112575190952717,0.0732321251384443,0.101429262926285,0.0743136270940034,0.140897816220506,0.121021373897672
"B cell memory",0,0,0.0278101465895996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B cell plasma",0.0839202736867621,0.0570185916875722,0,0.0262876354942033,0.0539491294930597,0.029912608340109,0.00788911517359584,0.0302363650951967,0.0389947102755752,0.0400930556780581,0.0223483400450486,0.0144096949721632,0.0207896896918753,0.0403550663715471,0.0432287497883011,0.0322282747235736,0.023078776453667,0.0325892918414114,0.022707610127418,0.0131279594539735,0.00924446509683936,0.0160403880945058,0.0232341463069792,0.0332265011705214,0.0297453345574721,0.0294702533790669,0.0250201326608566,0.0493307066875789,0.0599994859285686,0.0433225479824028,0.0286269484855393,0.0177458866847407,0.0467376761209171,0.0177296043990624,0.0373476245428079,0.019242671465751,0.0363216394191547,0.0228980339292341,0.00181658202449701,0.0473536685613244,0.0179094941142193,0.0560759239450912,0.0200949302512095,0.0244131055715117,0,0.0260434021112632,0.0468838652410316,0.0347726153681701,0.0301959219151787,0.0398328031360543,0.00773096187281248,0.0286135040806187,0.0264547596104049,0.0338373855182527,0.0851199903029155,0.0354539004692347,0.0150440042075912,0.0382001525228945,0.00740168981630821,0.0632378404577663,0.0270709367563961,0.028834644836722,0.0260890519784325,0.106164870868256,0.0222440686623099,0.0673162941082415,0.0189921975639684
"T cell CD8+",0.00877033777908643,0.0489759341481403,0,0.0329592099243079,0.00560569256018076,0.025557058901157,0.0399919742055097,0.0166027117912575,0,0.0669522146383562,0,0.0121898135599219,0.113299654317879,0.0232014208178388,0.0127044176754508,0.0067211689320412,0.0293873191575549,0.00131665266241962,0.0504284635891036,0.0479580937253175,0.0226798593385283,0.0388821964365667,0.00801843520667267,0.00371431352484477,0.142210515442502,0.0597257033073143,0.0699569065872314,0,0,0,0.0649245349364655,0.0721285499328978,0.0276021266564536,0.0770012585838875,0.0172391119970067,0.0161567764232434,0,0.0147048371907655,0.0247235685442362,0.00966918023765157,0.022863883664078,0.00622146930830075,0.0488064519548489,0,0.13479808082807,0.00727455781153493,0.0250495896182697,0.0354363851227036,0.0105740302254436,0.00899468641001579,0.092066607725705,0.0380467878959664,0.0292445390165995,0.023362853495233,0,0.002832932971358,0.0194823139788478,0.0358090827750876,0.0339491481963839,0.116902145215086,0.0122673353402622,0.0923920768515661,0.024333307455016,0.0274880033825988,0.0282476409971218,0.0224341074497329,0.0273747941354611
"T cell CD4+ naive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T cell CD4+ memory resting",0.086082064727887,0.145317241303704,0.140118558243943,0.140175742515214,0.0736537832063851,0.156981556927773,0.206147300615582,0.0669129751860369,0.0988544837984766,0.39750559855128,0.0403742354937444,0.124637446166638,0.302010445148758,0.0564086725416711,0.185667663917056,0.176064118525221,0.0800496292810471,0.0414920875938175,0.139560689762885,0.21773605241568,0.189062837335386,0.160293361538908,0.214676328005515,0.0681054581971512,0.162035932682823,0.224113528819429,0.177899202309416,0.0729825242209631,0.0941297579891805,0.140179753472733,0.215548763761498,0.381082791626099,0.166600198667855,0.14408370547406,0.115836177975834,0.0220539501958129,0.0167432386420268,0.105876451254915,0.0585963396884231,0.168455376597679,0.0903359277714655,0.127463101920486,0.23826447495088,0.0957543911681518,0.0212424587733121,0.148421161497414,0.118581634616332,0.0943661937026065,0.162604763820811,0.0582415238711853,0.330297905655599,0.183889025479217,0.179787064688576,0.139637696232876,0.166911042605277,0.108167483992772,0.304785776389376,0.115351968354423,0.144715660585291,0.0723597379155854,0.112618143126694,0.224652829297324,0.146570884000986,0.0812881680976363,0.163756892676236,0.146787351635526,0.296168191415097
"T cell CD4+ memory activated",0,0,0,0.00150620150195338,0,0.00179970450665178,0.00193900155110699,0,0,0.0255657484843705,0,0,0.0129868635198488,0,0.0019339626930967,0.000608493944351338,0,0,0,0,0,0.0240466566255154,0,0,0,0,0.00366913359302941,0,0,0,0,0.0391861817468481,0.00278244048724948,0,0,0,0,0.00608237228367268,0,0.00884666156569087,0,0.00238436111172259,0,0,0,0.000890738209174949,0.00137439808071459,0,0,0,0,0,0.0191503015202153,0,0,0,0.0184677458321424,0,0,0,0,0,0,0,0,0,0.0105790341668653
"T cell follicular helper",0.00364274413169554,0,0.00998824012313966,0,0,0,0.00757766345902314,0.0033610377444128,0,0,0,0.012112998507852,0.0313916366875532,0,0,0,0,0.0197997581874193,0.00203486201454188,0,0,0,0,0,0.0171986551893847,0.032997384580044,0,0,0,0.0210482369638365,0.0116007032646357,0,0,0,0,0.0175735274088408,0.0114102868947094,0,0.017524419475449,0.0120518677176068,0,0,0.0197228269387163,0.0281322846950432,0.0539136187335466,0,0,0,0,0.0150493070072805,0,0,0,0.00383979377632935,0,0,0,0.0644159544376432,0,0.000494581889188054,0.0190144136483594,0,0.0182827020680496,0,0,0,0
"T cell regulatory (Tregs)",0.0245418681274708,0,0,0,0.000633902878617335,0,0,0,0.0275971815752821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119601835859609,0.0181595203823031,0,0,0,0,0,0,0,0,0.00528380326711037,0,0.00490561791090651,0,0,0,0.0188829807382122,0,0,0,0,0,0,0
"T cell gamma delta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
