"cell_type","T210","T508","T111","T563","T1","T279","T393","T139","T202","T271","T329","T325","T23","T57","T19","T607","T576","T326","T608","T587","T349","T565","T125","T339","T521","T31","T728","T85","T378","T58","T482","T109","T335","T232","T92","T28","T643","T727","T405","T473","T613","T467","T60","T551","T312","T330","T12","T340","T558","T480","T162","T133","T167","T600","T408","T716","T64","T216","T289","T50","T258","T26","T233","T300","T120","T182","T250"
"B cell naive",0.21835348905057,0.204376711245887,0.197752565608341,0.234807829944611,0.176810763491753,0.0152312847805092,0.0853086891576706,0.17312177789516,0.175518302008517,0.250949246786705,0.117729404675702,0.0844802954322486,0.16189096120145,0.185658992623468,0.119175601539897,0.19987934508556,0.101137601066182,0.227899510745709,0.208600416243566,0.139101768808015,0.174763698972599,0.210760146297222,0.174226890589939,0.144749605698514,0.167466494606884,0.09152097359014,0.245398732845797,0.260078455946614,0.0978809692534086,0.267470443040461,0.292197504630167,0.282336387879487,0.13942144095407,0.300271867830785,0.210716426784544,0.248482688644683,0.107759158737878,0.139192467801616,0.143841196280818,0.235622920530759,0.247621437324503,0.155246248226572,0.148257637045164,0.29469805265164,0.189258057346732,0.0839732266186754,0.235988579798765,0.184026916672615,0.0958708200679861,0.245987708618281,0.224568541670893,0.213977489233043,0.10735062019165,0.213037376839605,0.1920623245576,0.104114555115854,0.314185608120849,0.171932295811531,0.239846607001588,0.212138723983599,0.201000691156686,0.196357589865578,0.237274030669725,0.177548835149797,0.274108859763232,0.29620713211895,0.276249623506541
"B cell memory",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B cell plasma",0.0947494946243254,0.0491130100012374,0.0654916533766667,0.169287596145544,0.019192282245715,0.00220848993369294,0.0186792080281256,0.109407073402434,0.0655667960679989,0.0733406286403697,0.0451595591058496,0.0905773505539822,0.0337027465753385,0.0326077040802935,0.0380012060795309,0.145768624194558,0.123856456762103,0.0831391718795621,0.0829196014888797,0.0495914831912277,0.146592467667127,0.0726602586273052,0.0562420392821173,0.0599979145005897,0.0251841213681564,0.0544040031212049,0.0935746306968845,0.0689259537692432,0.159024712290368,0.0676833006643854,0.0913350602769027,0.213886960198186,0.0509784463290872,0.188889547044371,0.162253617841047,0.143011570425193,0.0367894619800783,0.109283433081623,0.0719219381533224,0.0898189836784001,0.11529704537977,0.0827386882623153,0.0504513336609419,0.137654234365066,0.0729903750673772,0.0773072909520258,0.100735743699526,0.143605831734532,0.055967428992607,0.0913736407125662,0.0328168027376307,0.122403768857426,0,0.0667745553946906,0.078832416879877,0.0598189335078263,0.164681444331894,0.0281742889057872,0.0623168973523844,0.0802716323279091,0.0625818343729475,0.0671738944972877,0.113482744285148,0.100189435768096,0.192036280834519,0.125643022356976,0.154872092153752
"T cell CD8+",0.0152645679595055,0.0369716669063446,0.0128707918611632,0,0.070502765977128,0.084684257096684,0.0537597119290064,0.0402234403875327,0.0498767163795461,0.0985095505378196,0,0.0259675711935411,0.100410739219453,0.00947422551718033,0.114598687625796,0.00568438293534849,0.083136813765856,0.0781471859014157,0.011711494958016,0.0486445622252189,0.0201922896182536,0.0186908995297588,0.0442677702211134,0.113584828904131,0.00561124701894182,0.0135481058201791,0.0983816734150234,0.0333389733726666,0.00999184444727104,0.0559700565242053,0.0905946318381279,0,0.0380754860304605,0,0,0.0184365232512242,0.107729445200409,0.0270948280952153,0.0504860056792329,0.0142361667315105,0.0434908437447535,0,0.0911773571328099,0,0.0690226370575018,0.0262639947870923,0.0502034043888233,0.0373772100348802,0.0166821603511073,0,0.0236298140863255,0.0169738548085841,0.0515028811968532,0,0.0183894009179896,0,0.00954624187121978,0.0616788572260177,0.0535253952218808,0.0696047257054174,0.0116034913812901,0,0,0.0351844920386949,0,0.0284556080192568,0.0621561937014162
"T cell CD4+ naive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T cell CD4+ memory resting",0.207689873473501,0.287426890761842,0.190423100518922,0.164574327688175,0.321734308692564,0.225118775126895,0.299838210846705,0.0945039915697373,0.191358748042403,0.246338761962974,0.30406465172115,0.22423405131848,0.230028975799359,0.1742251704732,0.369477063869933,0.175600553622113,0.336740792281831,0.188621847487288,0.297948699902669,0.244796475537935,0.162153215617948,0.202430463288921,0.223892730589383,0.372180823875417,0.251520529133477,0.29211851369129,0.132033066296882,0.179040519334074,0.330320748391843,0.292116397686899,0.104725009656061,0.187715777307132,0.158641086033049,0.203469819120465,0.304719119321414,0.234477975162899,0.313967566802911,0.161300459313874,0.24581725903176,0.208095915704811,0.215681114976948,0.159550968280431,0.209161315045307,0.145353088081661,0.172951771862639,0.13636839604853,0.305448193202509,0.174936556426086,0.327259676308516,0.194634976070656,0.346821412371761,0.156677743297138,0.159317557226064,0.371453609657615,0.12287256443542,0.212692951373798,0.123437297814326,0.24160733697578,0.254209585119895,0.207563708661017,0.214607698235206,0.242903847806481,0.307545534392002,0.16301593342897,0.136990472577726,0.195193990957991,0.210147274880739
"T cell CD4+ memory activated",0,0,0,0,0.0124048730869394,0.00466834923526885,0.0125447034273711,0,0,0,0.00147492338735289,0,0.00353218789206386,0,0,0,0.0219664646323134,0,0.00523732156691461,0.00649563832314384,0,0.0119556488546797,0,0.0237866944117994,0,0.0159242081207382,0,0,0,0,0.00405919219437692,0,0,0,0.003293098636782,0,0,0,0.016360227111779,0,0,0,0.000969305796965008,0,0,0.0305441463256856,0,0.00152102473409041,0.0183642808126768,0,0.0197185296315002,0,0,0.00330526835750929,0,0,0,0.0113280657240844,0,0.00844015962400947,0,0,0,0,0,0,0
"T cell follicular helper",0,0.00870347034396807,0.000453809703711824,0.0210316778541407,0,0,0,0.0190125851034181,0.0102177520920212,0.0608754990903169,0,0.0417442401231356,0,0.0222922391494732,0,0.0139124253940215,0.00238597949906912,0.022362790376977,0,0.053357583830107,0,0.0305930998306348,0,0,0.0562760115289797,0,0,0.0305956250787492,0,0,0.0196458980662417,0,0,0,0,0.0528646657128694,0,0,0,0.105892994271761,0.00186377626660055,0.0709859133325486,0.0574831976824107,0.0586539773973201,0,0,0.0247326432329762,0,0,0.0403207596855944,0,0,0.00138486672703264,0,0.0203898411684334,0,0.034519533864785,0,0.0166945348169682,0,0,0.0260785193250896,0,0.0471785547699172,0.033100667065522,0.0128372255226371,0
"T cell regulatory (Tregs)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00715576433708967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200468026447018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00689575661073452,0,0,0,0,0
"T cell gamma delta",0,0,0,0,0,0,0.00504206310960325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116303166097366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NK cell resting",0,0,0,0,0.0232781173016028,0,0,0,0,0,0,0,0,0,0.074811626499872,0,0.00958867552070745,0,0,0,0,0,0,0.030280329855237,0,0,0,0,0.0395378868927868,0,0,0.00679404039592049,0,0,0.00259762542052319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
