"cell_type","T373","T342","T434","T32","T6","T314","T487","T71","T513","T286","T574","T595","T502","T229","T61","T69","T124","T186","T209","T34","T391","T659","T72","T399","T605","T10","T114","T201","T172","T509","T431","T496","T577","T18","T319","T265","T166","T78","T103","T178","T231","T334","T705","T198","T498","T283","T96","T661","T729","T123","T438","T375","T132","T318","T185","T273","T67","T160","T384","T585","T237","T54","T637","T515","T62","T84","T47"
"B cell naive",0.317046872523991,0.165768714127359,0,0.195423706677539,0.247207294105669,0.160173500653025,0.0731626011042461,0.168393147793711,0.110581016868119,0.138622821316841,0.108800972933088,0.158411772342937,0.136688351945933,0.258830341199661,0.171218446770194,0.106056346300983,0.170007051810278,0.232805496216312,0.160012641083977,0.118886004589321,0.218209190308496,0.214428940556992,0.103608540292498,0.156892536625305,0.0687345281420047,0.125909962764191,0.171677426037284,0.135734216073105,0.188205904131854,0.233413163138688,0.226514802160758,0.0563582955940629,0.129462964779503,0.138689939909615,0.18557652473891,0.137853766907993,0.235228060345338,0.168844241198307,0.0112859612466652,0.297519174970283,0.153157374962516,0.150062867562053,0.140920786840426,0.255769061315257,0.176944916062375,0.127816637482796,0.291510284901905,0.151221462553956,0.169261896364112,0.273591432728233,0.134682804415794,0.120159381718275,0.142134705882893,0.156393140284058,0.268879928486235,0.140335702405885,0.127833372998686,0.249566825988429,0.080728135654791,0.171690813650895,0.121436159203944,0.143402354203371,0.130209836162039,0.215772651986908,0.154532983686888,0.258532372178106,0.159438937466397
"B cell memory",0,0,0.0773636345037474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B cell plasma",0.175379808655807,0.103149121680647,0,0.0603329074012926,0.115516371867683,0.0599351141431156,0.00936757512165422,0.0696726004342883,0.0847640189281716,0.0430596271556043,0.0664634847651678,0.0300993181625132,0.02182562533151,0.102056552221261,0.063107847585527,0.0699542084024817,0.0566089634313158,0.125843900857317,0.0414446117706613,0.0254096640078704,0.016870199262032,0.0325550331737364,0.0457960027874593,0.0794235832589228,0.0413450934273275,0.0454183364759711,0.0390009381389519,0.20034034240292,0.192002971419831,0.0641926648203606,0.045086487023328,0.0158534460479643,0.091359681925582,0.0189856053029935,0.078199860897655,0.0577238681951085,0.104264285908635,0.0648097201201584,0.00494664070986585,0.0857908213708806,0.0426237654323973,0.132290000516409,0.0269357519537106,0.0575053730119408,0,0.0597289606615726,0.10194535811296,0.0729247128603872,0.0635746169257714,0.101357300358428,0.00918198276760436,0.0531208224294883,0.0535742955465858,0.066592285485229,0.151403600560509,0.0879746476431514,0.0233976489735727,0.0696676407760371,0.0100455212719997,0.104961010040972,0.0572196462797645,0.0367306145982087,0.0463874450906969,0.225846812588389,0.04625588111013,0.123518175574888,0.0250211652886323
"T cell CD8+",0.0183285884801113,0.0885996030654501,0,0.075644877258798,0.0120029604266562,0.0512080131891833,0.047486671748337,0.0382570491233317,0,0.0719061530934237,0,0.0254623763647042,0.118945296537928,0.058675582230555,0.0185466491224365,0.0145888681976632,0.0720829234112238,0.00508426841305309,0.0920391042436387,0.0928247114329286,0.0413884137446356,0.0789140005467659,0.0158048536074483,0.00887857821611322,0.197668210319109,0.0920467854206657,0.10904758272803,0,0,0,0.102253972454913,0.0644366830011573,0.053954790248432,0.0824561829131807,0.036095901055764,0.0484668479827805,0,0.041620009197789,0.0673234728764534,0.0175176905987115,0.0544149827994048,0.0146772111827143,0.0654214006797747,0,0.181036742393458,0.0166837564270297,0.0544684055183715,0.0743167628469141,0.0222626062828103,0.022887596661874,0.109346549564819,0.0706336650743525,0.0592239581637605,0.0459783102587789,0,0.00702958705962842,0.0303004663771625,0.0653069202747034,0.0460755447521773,0.194032040767214,0.0259293793665714,0.117692372698867,0.0432656565818387,0.0584758206514717,0.058740131737609,0.0411641796321457,0.0360647706248131
"T cell CD4+ naive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T cell CD4+ memory resting",0.1798976025391,0.262885233778911,0.389788701481725,0.321718174118122,0.157708157486119,0.314539856432855,0.244780343821817,0.154185232561132,0.21488307713052,0.42691789329619,0.120072111854156,0.260345701583546,0.317059413570533,0.142655561063332,0.27104847337522,0.38216212767057,0.196350380435405,0.160222142381273,0.254718069106031,0.421436397155228,0.345020258660893,0.325326025260966,0.423140905882516,0.162797145018313,0.225224926027015,0.345394507804546,0.27730611497089,0.296394373274582,0.30122246804696,0.207709665020882,0.33948209831503,0.340443708684724,0.325658920645867,0.154290885524097,0.242542146000304,0.0661570986414442,0.0480628586353998,0.299668661263799,0.159560666924544,0.305191246248222,0.214995318733869,0.300701132189908,0.319375718971292,0.225550656204978,0.0285290822623266,0.340394917628294,0.257846641791008,0.19790365224554,0.342348731701323,0.148199553222029,0.392291376907568,0.341389025324924,0.364091962313299,0.274808268712822,0.296885992747603,0.268404778170116,0.474027427119302,0.210373492339025,0.196407074989549,0.120101368467701,0.238040167297527,0.28617090787983,0.260609271625175,0.172926067877785,0.34052760192342,0.269339037623432,0.390185140275257
"T cell CD4+ memory activated",0,0,0,0.00345689195839159,0,0.00360602103981084,0.00230238021518449,0,0,0.0274574132371111,0,0,0.0136339898101724,0,0.0028233114182051,0.00132078780387415,0,0,0,0,0,0.0488042870003404,0,0,0,0,0.00571938023770618,0,0,0,0,0.0350073247499978,0.0054389284831859,0,0,0,0,0.0172153140566431,0,0.0160275303935099,0,0.00562500107907179,0,0,0,0.0020428539723142,0.00298852289178559,0,0,0,0,0,0.0387818271101101,0,0,0,0.0287225281481634,0,0,0,0,0,0,0,0,0,0.0139372898576733
"T cell follicular helper",0.00761274648821366,0,0.0277857779617467,0,0,0,0.00899775578592028,0.00774472192916585,0,0,0,0.0253019232325326,0.0329558599017077,0,0,0,0,0.0764569791347921,0.00371391202008203,0,0,0,0,0,0.0239055978427675,0.0508542053034397,0,0,0,0.0311879721623923,0.0182707198941124,0,0,0,0,0.0527167956734361,0.0327541772374443,0,0.0477198417825501,0.0218344145651082,0,0,0.0264369752771472,0.0662659455728721,0.0724071577741017,0,0,0,0,0.0382939941563506,0,0,0,0.00755674941906485,0,0,0,0.117478786801118,0,0.00082089796649239,0.0401906307479067,0,0.0325074226151384,0,0,0,0
"T cell regulatory (Tregs)",0.0512885378843901,0,0,0,0.00135731866931745,0,0,0,0.0599888550236675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0281723607997073,0.0243886292241273,0,0,0,0,0,0,0,0,0.0103985733596763,0,0.012172708826732,0,0,0,0.0313416257816497,0,0,0,0,0,0,0
"T cell gamma delta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
