"","cell_type","T210","T508","T111","T563","T1","T279","T393","T139","T202","T271","T329","T325","T23","T57","T19","T607","T576","T326","T608","T587","T349","T565","T125","T339","T521","T31","T728","T85","T378","T58","T482","T109","T335","T232","T92","T28","T643","T727","T405","T473","T613","T467","T60","T551","T312","T330","T12","T340","T558","T480","T162","T133","T167","T600","T408","T716","T64","T216","T289","T50","T258","T26","T233","T300","T120","T182","T250"
"1","T cell",2.8076802753665,2.73905797118258,2.7307506972334,3.10067130812304,6.3120082544348,5.59055066892228,4.73196515985196,2.64098402549555,3.9319548219032,4.69253165259745,2.75883043634886,3.55377275945379,5.04605588900564,2.5822275507055,3.31201507376211,2.29742625156311,4.41753739780215,2.73351768599355,2.34189028934307,3.03174671378392,2.54514922930415,2.20159696808199,3.51344551719298,5.1351159367093,3.68358565787382,3.24385597007753,3.45248269603486,2.95543888322444,2.58465832366487,3.31872519813159,2.46528783822768,1.7451796174214,3.48618516826842,2.13760145618813,4.4505610474158,3.40510620242123,3.04920992260118,2.89638477210237,2.66893328091404,2.56619994512402,2.08951449508511,2.83089510585349,7.09391555613653,3.12578124349689,3.0915062798938,1.62077895888511,3.69650238056829,2.56038020425956,3.68119115182748,1.99712717599489,4.1161591946308,2.78479346670603,9.93648575475489,2.55004122212257,2.98586251260763,2.34084995975674,2.48880934453973,5.70149712494855,3.94597090485097,3.1582914155167,2.60069958485809,3.70749203200251,3.11739751774693,2.13874340826803,1.80044501079892,2.97903669021168,2.80649360565344
"2","T cell CD8+",2.84210561223137,2.49036984806947,3.25695619614131,2.12689338429187,4.65224087115269,7.91880604557122,4.43978717779917,2.24989645971303,2.61578546350732,4.57451965480433,2.08562127647655,2.78472048857326,3.94167050714061,2.4269332954374,3.60950753915312,2.11856332121877,4.82183822788868,2.62740578239724,1.92849294976685,2.46899732261919,3.64963874477135,1.71249368008742,2.38746390015831,4.62887884803176,3.02921932353493,3.11987437705017,4.21622415937039,2.2291377633753,2.06795863603295,3.90797048999636,2.70413274172916,1.77108495679345,3.70169810557946,1.98692939416928,2.4436802908677,3.48187356291316,3.3034208783523,2.79479050734272,3.00965449860345,2.11636889194129,1.71594185672889,2.23796959988961,6.55923137133899,2.51384956557331,2.95413651652629,1.63888532332274,3.36850136044411,2.86520212087627,2.85580077607712,1.74459601359537,3.63954646504651,2.62485438841602,8.38684921396048,2.40161883168302,2.67147567729305,1.96267054146963,2.338937576793,5.58140087357449,3.07199269073726,3.72392497262237,2.68052598716241,2.91504325152939,2.58438236520611,1.57590803353742,1.54102876302485,2.46853954390756,2.41746101694355
"3","cytotoxicity score",3.16434971584549,2.87060696497267,2.34613767715116,2.6609649967069,5.27880494683375,6.22275811464647,4.19516009505947,2.47298680881472,3.30251939986377,4.68115203455625,2.19648554054436,2.72014660315844,4.5237836098867,2.15801375850934,3.45338071111986,2.39644702047909,5.25676182167322,2.86239688374707,1.81676873635218,2.95205174564808,2.25359436173514,1.77326363431732,3.24188120677865,5.72154163277053,2.87564478618891,3.51769882713924,3.4177804421842,2.44729055264218,2.07076692077455,3.16397334750291,2.54685546386937,1.62519936003616,3.30759094501099,1.83933395769456,2.7562978904804,3.18118948084202,2.97701811170701,2.70311445161139,2.48907456919285,2.10833051909886,2.24521466656884,2.12964818267665,6.10286174113085,2.12193542777029,2.6402906619803,1.53081861427576,3.66771840785881,2.44289648903085,2.71348604701769,1.56006641442188,3.18114819003224,2.65651577915846,6.88556516346388,2.77179542383048,2.88971213238493,1.78569638176177,2.32570961599083,3.78403063300726,3.56476540858272,3.0765123673833,2.53521620559286,3.29507053787449,2.87502536741869,3.06331247196523,1.54090277930569,2.70645460552933,2.79269453518698
"4","NK cell",2.7556424784544,2.26382761430558,2.56945280646435,2.37200376110316,3.51835253373998,2.41651952807948,1.99552058493584,2.71424529733414,2.8173033507935,4.01937761475218,1.78838447000513,1.81611842392336,3.8826154944971,2.07537996881193,2.54272736679398,2.34115814133344,2.28625973952269,2.05012183626162,1.89845164485264,2.21488248003646,2.32204498047939,1.56050646430878,2.41281686508173,3.55546288166747,3.44731014582012,2.57686911569811,2.35713620307276,2.15934429964355,4.29344049756405,2.47937116017359,2.48466687567018,1.72513487214079,2.56648395662268,2.37489989228768,3.33274972770292,2.83419242088834,1.93584291782736,2.15771137266012,2.23118344742378,1.96951664304916,2.2462986256876,2.16042976785673,4.1170637532519,2.03661406269002,2.0099552056386,1.394031988468,2.97808168235868,2.00590012632171,2.08342023815091,1.72518357642052,3.09530476950668,3.12978892233365,6.18909497638801,2.52967393917609,2.6817037167326,1.83817070872165,2.42582866448073,3.4039747315548,3.45586981560799,2.45821919456565,2.00987145266681,3.00050655154999,2.67890890999933,1.79743819989893,1.55326236319653,2.31150183280674,2.7461087351823
"5","B cell",53.6944243411686,12.4959989412023,28.8046630502903,31.7554703846617,67.3180139609554,18.256855247849,7.80219308453598,14.958400426034,8.75678839810479,7.72643293181621,65.2092495650204,47.9092649869513,8.03105841471962,30.0213930993705,13.8271237390403,3.65293982312398,6.99325700164692,64.8037924411041,3.7221890213207,8.71705711649161,103.704998497215,44.2385359149828,2.77475260417754,10.1762171549895,5.88331516438851,44.589597451003,16.0218378281127,14.0260359752463,50.2719589760976,45.4816447408087,19.6801758731013,71.3901702741823,11.2497975537821,50.0665756955543,9.96301531882375,34.0029783185929,6.17585486741069,60.0543658240166,9.66739769502317,9.63747187920643,2.37513970098495,13.1516296404502,10.7686105597525,8.78926381644069,11.6801677009087,48.6299614798278,4.27847842891826,10.3686613737489,51.5862662144228,36.2747972478805,31.291600480455,9.95575314566923,21.5608437871491,17.5450473609038,28.8208057944872,53.7919198370731,52.4441307758955,13.5728450765957,10.2023259444574,70.3350553492164,5.29755716379284,9.71288648693645,37.5190924045985,30.2884448560199,54.1311714343117,9.84768869124823,7.49171642961619
"6","Monocyte",13.8117818926056,11.5243519943425,6.87286483566246,17.4720293929431,16.434228690423,30.2203793819402,18.511529487544,12.6990489209284,17.739002974861,8.66471396288589,18.0795613036212,28.023423989763,14.2171605563143,11.9910568785567,18.6607383691859,5.30949240156858,11.0225079256023,20.4826862552905,7.10847869630479,12.9321988825028,30.9833259474157,13.5596254526733,13.9204178752221,10.6329030486923,12.5977877006799,12.3151158742674,15.339027657607,14.5288115464603,11.891025585235,9.46993259747549,4.95582934619541,13.744044179833,16.5784393313109,6.16051247853847,12.4606055695107,7.85141189475898,11.2574530096509,11.4068430855272,9.86604769908184,7.48763524150471,4.20856126467858,10.4825894474512,25.1490806496482,7.96059513899286,7.56311284981701,12.7622343893669,9.38013431536685,8.35390561235128,12.0753728936206,3.79645468449091,12.143104986443,9.46420947568639,46.2943125456737,11.180032077155,14.4881204028555,9.22632014515396,9.87429424966687,12.4352303480899,8.15487695553848,10.4684253397529,9.75037461243393,11.1991964017662,7.82815195597562,11.9978477752957,4.4467626976505,6.45422281102239,5.5480955471607
"7","Macrophage/Monocyte",13.8117818926056,11.5243519943425,6.87286483566246,17.4720293929431,16.434228690423,30.2203793819402,18.511529487544,12.6990489209284,17.739002974861,8.66471396288589,18.0795613036212,28.023423989763,14.2171605563143,11.9910568785567,18.6607383691859,5.30949240156858,11.0225079256023,20.4826862552905,7.10847869630479,12.9321988825028,30.9833259474157,13.5596254526733,13.9204178752221,10.6329030486923,12.5977877006799,12.3151158742674,15.339027657607,14.5288115464603,11.891025585235,9.46993259747549,4.95582934619541,13.744044179833,16.5784393313109,6.16051247853847,12.4606055695107,7.85141189475898,11.2574530096509,11.4068430855272,9.86604769908184,7.48763524150471,4.20856126467858,10.4825894474512,25.1490806496482,7.96059513899286,7.56311284981701,12.7622343893669,9.38013431536685,8.35390561235128,12.0753728936206,3.79645468449091,12.143104986443,9.46420947568639,46.2943125456737,11.180032077155,14.4881204028555,9.22632014515396,9.87429424966687,12.4352303480899,8.15487695553848,10.4684253397529,9.75037461243393,11.1991964017662,7.82815195597562,11.9978477752957,4.4467626976505,6.45422281102239,5.5480955471607
"8","Myeloid dendritic cell",5.7239911066142,3.94367224146521,5.27303487254351,6.66051038817297,11.9950207285105,10.4945140186809,8.83555308878273,3.44510674054359,4.53883587775257,4.77558181352604,5.1112911818071,5.97070460488,7.0784389228304,3.76297726323377,3.56247774072988,3.68450048145648,5.49365746650369,3.32773521541099,2.52456331514762,3.89849185683121,3.12328889001344,2.79830993292899,4.81311794882171,3.3716020257567,4.71081049627322,5.86759353993903,4.34292125373979,3.46529707760388,3.43156403450813,5.45295448914012,3.00888935886611,2.14535449025207,7.12046341746379,2.85910291867661,6.20256681647734,4.86329715783936,3.81546678757366,4.75886000623387,4.34000648459778,3.34310011615485,2.84612277163927,4.20795144336416,10.3660221645087,3.68094572340129,3.51057433869504,2.45208990579918,3.42356128010405,3.75813590779386,6.59896685155954,2.0586923069315,4.22379836555214,3.9214370506896,16.8691538199349,3.62671763618695,5.28245339849761,4.13301353549443,3.73795925301631,9.27109345432573,6.03495799606995,5.86564627056802,4.21912274164919,6.48442445561528,4.36290866997348,2.76293714825611,2.25628021489123,2.9227013081877,2.75322539618349
"9","Neutrophil",29.6902026344437,56.5051421449562,25.5132197108478,39.1889612632509,36.4079925412797,35.4282310504168,23.2609479426682,81.7351267926223,47.8009647567589,29.0742450289442,15.9284834556455,19.5667612755023,21.4229406296645,37.0148744222574,33.2474393198679,36.0843766450056,25.8007495259669,34.5367784502422,16.1044008282704,20.8198322009768,36.6446663580938,46.1457306399636,30.8913246334648,51.7882772952117,56.0792904080113,33.7117903843286,15.7220349023057,30.4765410773246,28.3834609142088,21.4201694934274,45.8257027638684,17.1473362838173,25.1098793550477,31.9666025185745,35.5871114091125,50.4590987539982,42.3405575381396,16.6548268794562,43.9784379411044,23.9144539813482,52.0546688537838,26.3547378014731,27.9529969129504,29.333101848818,33.829422350542,13.2823149395059,34.0355633629658,46.3461223369234,34.2361587286926,32.7028353436059,17.0328837365316,31.6133218550147,25.919277819205,25.8252084174465,16.0941213666001,14.3895010257158,23.1611671267093,21.4146504557378,46.0362787487575,49.7331928288572,37.4540809782878,33.7679685592532,32.5323169481166,31.0219410535756,16.7176330778508,37.8420032505127,42.3784407621273
"10","Endothelial cell",9.0508426788222,6.23871264368,7.22480792864022,9.26974354817836,10.0430477585723,8.49318219838879,5.7112895227447,6.62793034304828,6.17902987605535,7.87133767278648,5.61160355012608,5.02764592945403,8.32057392364751,8.63226909778132,6.41142923335288,7.60289572972955,5.88961391568195,6.15046634712735,4.66428862612947,5.11604078494782,5.32534853783277,4.17443039025262,8.46688169832376,7.19945000575298,7.99738122375505,5.89358424068699,7.88690585965511,6.95184362448652,6.09835375229663,9.3942933472298,6.01656954069645,3.15467001279998,8.59558007930764,6.72831057330204,8.60478413690748,8.58751158794828,5.07490974616517,6.11728130308083,5.08802662069032,6.23336370579673,7.51599341086904,6.59553128609118,8.57853043869048,6.69269501541871,5.64211069419159,2.74444899624768,9.18428355054577,6.63705352322761,5.67149712110579,4.34412294476246,6.44528843485861,10.0457673799824,12.2567277785936,4.8604271994701,7.43450317696641,6.73909408816425,12.046937103384,6.38562135467479,8.37419876236162,7.16197970268117,7.40791967588954,10.0172678307234,7.50972517089472,4.91561468198272,3.76699907062886,6.17826237745374,5.15939017390849
