"","cell_type","T373","T342","T434","T32","T6","T314","T487","T71","T513","T286","T574","T595","T502","T229","T61","T69","T124","T186","T209","T34","T391","T659","T72","T399","T605","T10","T114","T201","T172","T509","T431","T496","T577","T18","T319","T265","T166","T78","T103","T178","T231","T334","T705","T198","T498","T283","T96","T661","T729","T123","T438","T375","T132","T318","T185","T273","T67","T160","T384","T585","T237","T54","T637","T515","T62","T84","T47"
"1","T cell",3.43847856228841,3.76356602345883,2.14727423124182,3.22935863924373,3.52116021343501,3.52402172902851,7.85008175128156,2.86812613025637,3.40736261950715,8.78247840262923,2.18639887276981,3.41677048336574,9.51809452626823,2.68422788622419,3.96173203529476,3.72918836892862,2.99239518469674,1.89445720517202,3.97034565649227,4.4326506869206,4.07991951332624,4.60593179812022,4.35550841945083,2.34600468507957,6.55358816361751,6.19681906179319,5.0091802001772,1.83306151771695,2.46401375606664,3.8045965288229,5.06255735033412,9.92030088961147,3.53706405052968,6.50428642148313,3.12162305350922,2.28942693997075,2.15466532786711,2.4410937854413,3.05314002308018,4.72458212847028,2.83936852132293,2.99059127564138,6.51547397228041,2.31126784650094,5.61915301424559,3.06574194179079,2.51706680468947,3.14180212646354,3.64185979440162,2.67909818972407,6.50715606980227,4.45550418799574,3.98560629792309,4.10758759686756,3.68308301656817,2.75142744678515,5.32741971034772,4.16453794088898,5.48153638232568,4.85988529270443,3.09293022329187,6.80282822622341,5.18584835605769,3.14823608305017,3.37724776249463,3.66844964445729,7.05998594855304
"2","T cell CD8+",2.53972714219109,3.29790192833999,1.75125843990926,3.50243114262545,2.46123704346926,3.64151638368719,7.09408425403116,3.18478028836292,3.50312883060799,6.54466275265447,1.82551004703125,2.36184521759343,10.6039092130435,7.75033413643362,3.59021567091493,3.46776676155115,2.93710421866542,2.09802663388072,5.74422686804041,4.04290170074384,3.04398927247542,5.33347171127816,2.65247477518007,2.30518256903025,7.56389901733811,5.02383274643829,5.51704628653028,1.83025105461164,1.89361976597446,3.42895312292171,8.29226798436845,8.39312133668472,3.81165763673082,7.07368788916297,3.23689628106854,2.32115384621085,1.94190065971517,2.76913867924068,3.01303633762725,3.2447920638882,2.36774385984763,2.51650203696946,4.56041871103254,2.34148889272012,6.51471544681768,2.57468107284818,8.92182130717645,5.72112499689242,3.27212064560675,2.29527953591362,4.4448619239993,5.0041163471338,3.56113217412236,3.00826470026273,3.24981159917558,2.11462725477451,6.34268813350694,4.54390665715999,5.49136062104836,6.3219280305766,2.82608063355372,8.73165936270841,5.25692462807899,4.91999514345185,4.06613871489119,2.37482479874789,4.65349031224087
"3","cytotoxicity score",3.16834085068647,4.0119599127705,2.00085209302992,3.65154486875663,2.49627752197263,3.5029217895414,5.55910517902943,2.56309856162673,3.06035707683687,6.38750292704807,1.97002980216107,2.55081388088218,10.8434506283065,2.61730541729872,3.82446544457488,3.88829573848283,3.00212220925088,1.92205900941039,3.39350162227699,4.28625841425758,3.6675779909168,3.79211511953587,2.47387888790398,2.05608006328915,6.26438553613234,5.65492121075294,4.58258672667055,1.72784765865498,1.9363475522217,2.96482318793914,8.84707969990684,10.3554354469234,3.33950527344574,8.04209260358645,2.85750225954394,2.28559204548491,1.81171057819489,2.58307211930353,2.33993383040619,2.81145102445434,3.21920610442771,2.61750532333849,3.97083700587466,2.14159040264267,4.83379715342424,2.97019175865199,2.69772015917202,3.32228795721181,3.11033115874081,2.4132688597791,5.38339522980202,3.66214890767126,3.70483680220338,2.76380922596544,3.07394417218696,2.30657647991052,4.57054326439844,3.35879676768541,3.96587543530977,4.45581041660887,2.78386699368987,7.84816673156889,3.85951756202907,3.17598881837015,3.91831137483048,3.48318603272939,5.72643965659105
"4","NK cell",3.36505055208131,2.78665708720254,2.40766797134162,2.25198073011741,3.68785808572267,2.19353167616327,3.14306954487918,2.379101394951,1.76017196325649,3.58343523321764,2.11160435220848,2.13311757908721,3.17641646793672,2.84669751044158,2.83189958679052,2.71884299080053,1.96713820981915,2.4036911516556,2.89018390828954,2.5382615631008,2.24547003468358,2.14247546359169,2.04664986619857,1.83313580601528,2.90718293568428,3.7208755460364,3.03045100554673,1.78861990813351,1.96992412967229,2.58689832465244,3.6446471228869,4.36279852555436,2.21703690212791,4.76521633123373,2.53118195320811,2.17287160723416,2.27859314340964,1.99448042320547,1.73000248252819,2.5852549708566,2.89191116661384,3.79887492889188,2.44212068854445,2.80016986375813,2.08338488620524,2.62073373666558,1.98695276368493,2.0707963001047,2.25547821136173,2.81529431312016,3.40543429939601,2.38854226449489,3.02223737823493,2.86475553336706,2.95906997462729,2.16322984186591,2.32360169320236,2.39963195729761,2.78991886710622,2.36256913017245,2.38091696031179,2.96078863576462,2.39120858159036,1.91647140962941,2.46969724778565,3.55380505314418,3.9037452612461
"5","B cell",58.0590935893095,45.4007914890365,6.2528434289232,47.578212448566,66.7391023584044,33.8660083678257,7.70475202962719,45.5306301503337,4.78080295877015,17.0723861128612,18.7639545107352,68.9211759754779,35.0399719174643,6.39445131851495,10.328058105286,4.72522010839548,12.3699349246291,2.0760690356734,3.02647123319757,6.48681917288876,17.864426427787,15.7022291292189,15.9098174161015,17.8776868064669,9.40833875410955,15.2046745830035,12.1620194710832,2.27196804960198,28.0039100539524,4.01452453227339,3.49076627423937,8.63601780592225,8.31712702634558,6.3745297051345,19.4069493011104,69.5390079802547,73.7564105057415,4.71827982699698,44.3947498748024,17.2348079525523,9.78204741338193,26.1390404849435,8.28220816224111,62.7013520301344,22.2666474448757,4.4162461283857,3.7868498532135,4.90438004543488,4.44583897511468,39.5650139849806,4.35583705700528,4.830151889354,5.78573454725168,7.21213615818805,7.08323681395767,4.07727771658045,8.21392772305578,20.5218432554597,9.2362828173789,11.5083961553677,14.3247267095601,6.9170687327342,6.32822069896064,3.15242011440625,7.0091947062033,6.78534215460508,5.93527596019351
"6","Monocyte",8.70819961393701,13.4382375429615,7.85932458980657,10.0821217100751,18.6813072221871,7.83103412597868,32.538439721273,13.3879911480996,11.8242212182889,19.3001338935248,8.18620576361025,13.2177102123607,22.5060100387834,23.9379322555529,19.4236296643258,20.4750022187072,20.7316651505889,3.761390077562,18.5122207386784,14.3017296321618,16.8776238743769,10.0159758130862,28.5405731061381,12.4082030770855,21.6837915865671,14.9229072820919,13.9597900017545,6.51067457033934,5.19886512870618,13.0048044902709,13.3447580230228,41.6202920086145,11.2077058598139,22.5388073413619,9.80637070675314,7.98492539587378,9.82892871099522,14.7763271792068,7.09828785609688,8.76884085422324,10.6633730944317,12.3288659400566,22.7307538492877,14.8166688924497,13.0953988578678,8.50842601334752,32.5859901299141,17.8277213229341,20.256796982561,9.06509189737349,17.977233245022,24.8683224542712,15.4251674678851,10.8042303520956,11.9073400589059,14.0733379745211,15.0427336701467,27.0747761653015,23.9112593236935,13.6765540470465,14.794899017749,23.9970977967618,16.3528053214479,27.8914667498114,16.4062762956296,13.1457899300251,21.5395099839688
"7","Macrophage/Monocyte",8.70819961393701,13.4382375429615,7.85932458980657,10.0821217100751,18.6813072221871,7.83103412597868,32.538439721273,13.3879911480996,11.8242212182889,19.3001338935248,8.18620576361025,13.2177102123607,22.5060100387834,23.9379322555529,19.4236296643258,20.4750022187072,20.7316651505889,3.761390077562,18.5122207386784,14.3017296321618,16.8776238743769,10.0159758130862,28.5405731061381,12.4082030770855,21.6837915865671,14.9229072820919,13.9597900017545,6.51067457033934,5.19886512870618,13.0048044902709,13.3447580230228,41.6202920086145,11.2077058598139,22.5388073413619,9.80637070675314,7.98492539587378,9.82892871099522,14.7763271792068,7.09828785609688,8.76884085422324,10.6633730944317,12.3288659400566,22.7307538492877,14.8166688924497,13.0953988578678,8.50842601334752,32.5859901299141,17.8277213229341,20.256796982561,9.06509189737349,17.977233245022,24.8683224542712,15.4251674678851,10.8042303520956,11.9073400589059,14.0733379745211,15.0427336701467,27.0747761653015,23.9112593236935,13.6765540470465,14.794899017749,23.9970977967618,16.3528053214479,27.8914667498114,16.4062762956296,13.1457899300251,21.5395099839688
"8","Myeloid dendritic cell",4.06170938116603,6.03324291930325,2.92970650690509,4.83491800636877,4.06687270350472,4.67513111686404,11.7226654449524,4.63130489848555,4.66592309852214,6.36877162337646,3.16255149573048,4.50512663312702,8.32463663320721,3.19209769574352,5.73032944934051,3.98897525490885,2.96964784458065,1.90936180457196,4.32753466697741,4.4120026783475,4.76006984680762,3.96611619655873,6.59786608829773,3.31140313685348,7.22728654791165,7.0254968714137,7.53921639022183,2.42981831452286,2.61268922326019,4.53116922885555,6.68049508884482,10.7520960899412,4.43762381978185,8.55801647865834,4.6552526386943,3.03289964963397,2.65999721793144,2.74029300084332,3.25331744695352,6.21860971608914,4.02499813256046,4.01260858927541,7.43929711264952,4.13109181553521,6.91959069050465,4.84792388846431,3.00858409308669,5.33193377822098,5.2847320034929,3.77111027288853,5.91542779296011,5.7431986803026,5.02550090408728,4.62250830025532,4.61630192638186,4.40706539020828,5.89323208185151,4.11567994242357,15.0749832956187,5.2440046084517,3.98339801973536,6.39393167189946,8.06781206054814,4.16143070725764,4.24340438241965,3.9919410056455,9.20418594129401
"9","Neutrophil",30.9456750171907,37.9205412060629,55.6460324533685,61.6142252609291,75.383118510358,46.8385815601324,24.2230923840262,47.3725943543127,29.5935407321326,47.2813706882286,15.9759292332297,34.4816557564335,25.0456670916342,44.8941450015981,67.400592774023,36.9524182488233,20.6515415348162,44.5006416158547,71.9132537715199,19.6168826526396,35.9960852946366,23.4447269211401,40.0455533188258,36.1632786055799,32.9601572663024,44.9895553121852,36.0383904651304,36.6301589353733,52.2059403043159,26.703249682927,30.146952196455,36.4075490915845,48.0625301686135,27.175568071906,33.8355140512507,40.0775686761546,34.9601253782427,26.8910888125935,14.1939112876481,42.0849262496451,39.3629158117339,43.3752368267693,26.194133992776,28.7508060992582,12.6765574856486,16.8018465794286,101.084016381789,59.5305605264985,47.9409431850525,45.7021804344284,37.3888137707535,33.1743090284323,19.3112729059119,30.9541710981938,23.5614651991793,56.5725321487866,52.3539777653023,39.4789838442796,15.8568736648173,43.3159301207316,18.4695039374316,21.4720968262516,26.3609239108581,30.1314506572337,46.7952535854557,32.0060072503781,20.6654608618136
"10","Endothelial cell",7.50114283993756,11.0891638862995,6.94375503981647,4.99086550362754,8.82215291930575,6.40452070239675,6.94311743968226,5.83668576760201,5.28606234301136,7.3654488161926,6.81368492558003,6.48366241637272,6.13000884015502,9.67329912810608,11.9478585808345,4.51881429186512,5.68449865974909,6.39478963189167,7.96023285495146,6.581690669552,8.20994043188102,5.93703887399366,6.03132153253498,5.35974564430764,6.32001458639102,6.40077616076614,7.61118798904756,4.18084939145243,5.04203666212297,10.5604884207572,9.48719413664741,6.95551680709017,5.59994151314044,11.8390028937122,7.61851570240992,4.46464040116374,7.33995028812638,3.76169218308514,6.13921790321504,5.60609342697324,5.38731578173295,5.36473905249104,7.20596732616525,6.03456325811879,8.32760017160291,6.17335853221393,6.24385204781913,7.25981522302231,6.01215281347332,5.64456410804307,11.5816471733432,8.20670578425902,5.75281019178998,7.12664724134368,8.57070976933523,5.12137927809018,6.20485960774982,4.86441931111121,9.50087022161509,6.44039773875618,10.5191579029306,8.67682002956283,6.61049994083695,6.78120931934831,9.15906063622651,8.69782802045925,9.80665464385268
