"","cell_type","T210","T508","T111","T563","T1","T279","T393","T139","T202","T271","T329","T325","T23","T57","T19","T607","T576","T326","T608","T587","T349","T565","T125","T339","T521","T31","T728","T85","T378","T58","T482","T109","T335","T232","T92","T28","T643","T727","T405","T473","T613","T467","T60","T551","T312","T330","T12","T340","T558","T480","T162","T133","T167","T600","T408","T716","T64","T216","T289","T50","T258","T26","T233","T300","T120","T182","T250"
"1","B cell",0.0490008108800692,0,0.0237953494840592,0.0448910655936987,0.0904542580023505,0,0.00687039173168394,0.0094950445289269,0,0.0262233085525667,0.043215331814707,0.0625957647658859,0,0.0352129364054085,0.0305456285202682,0.0130580479850738,0.0206248567143475,0.0780518828352793,0.0257796900188217,0.0129195966371369,0.0894314198204914,0.0351397726801485,0.022130813959828,0.00187878841960009,0.0223130035335949,0.0709698547179289,0.0151381057986502,0,0.0156161800940054,0.0490799822743103,0.0256701740917875,0.0914534514283714,0.0211608116765962,0.0409843327103613,0,0.0329289130480181,0,0.0359674991881287,0.0169880114110227,0.0380788855173661,0,0,0.0200586049785544,0,0.0165430893605404,0.0301145767620028,0.0230612380226148,0.0131665668104458,0.0397524743474674,0.0191801213470953,0.0465118494486212,0.0112183700192072,0.057478524525497,0.0255800599026214,0.0453502915160341,0.105171234918923,0.0568160791818888,0.0346065516888442,0.0123046543029388,0.054036658068996,0,0.00692388660205608,0.0294159006980435,0.025253067865192,0.0202363588582342,0.0234225659161149,0
"2","Macrophage M1",0,0,0,0,0,0.00095459232592349,0.0137147921421741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00266804658495579,0,0,0,0,0,0,0,0,0,0.00916217968806385,0,0,0,0,0,0.00184080568938298,0,0,0,0.0260279761101262,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Macrophage M2",0.0277797495789908,0.017615681104561,0.0212745025787305,0.0298499114356778,0.071332729558256,0.0574533710789294,0.0602371734071826,0.00592474470175353,0.051041316499504,0.0613185551068098,0.0198661956953833,0.0375083468002378,0.0480185360084551,0.0230035900815662,0.0416810627883189,0.02231852162274,0.0929277397100822,0.0702348690675771,0.0752887232707958,0.0281594653085049,0.0305663372349206,0.0234024011176855,0.0340762146894164,0.0250206753578699,0.0319533219462474,0.0774411675993823,0.0210394231449951,0.0348914215314491,0.0228301660689007,0.0463116919927143,0.0132169956851658,0.0501531084318761,0.0437245608416944,0.0132594505828141,0.0335225917739721,0.0106414284887582,0.0308431746255121,0.00234164430367487,0.044769125044206,0.0457899849679701,0.0040707518127303,0.0302922940532032,0.0558580601681007,0.0163666367806575,0.0225753531096422,0.00625274599810563,0.00633801515037741,0.0294612689172978,0.0568911037321275,0.0039979451814279,0.0337641341177174,0.0425828327766686,0.106915119177517,0.0250240001574507,0.0457506163607185,0.0576311037682388,0.0191477733685437,0.0265379025801288,0.0160450510103904,0.0222936298022068,0.0481702109741155,0.0362971648960361,0.00491872135300355,0.0282818366844719,0.0483050788501953,0.0139258768934937,0.024765006103005
"4","Monocyte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Neutrophil",0.189100205084156,0.490749510986982,0.417722975393849,0.257261066915664,0.133468444920408,0.000323981446637821,0.0543573302759078,0.569509181862683,0.0571995773101705,0.185465963192639,0.350750002019409,0.0908945671016962,0.0852469176848238,0.158339622718238,0.229085091955261,0.568566493833793,0.14416559859209,0.109173981190657,0.0951246419540233,0.214025412932381,0.0719259722770506,0.125838731311684,0.216538331855476,0.367235291854744,0.166491701374742,0.076270502853501,0.28345546959881,0.132816079149996,0.184042922785028,0.0827679116813869,0.53538957184556,0.0300120811586271,0.0939786060495583,0.684341874788671,0.316874696444456,0.408941107161372,0.0706454084580308,0.431138352654253,0.0801479083673294,0.0803619500783911,0.574294228986836,0.228142209634696,0.10892188779659,0.400615790777823,0.243782104568781,0.24807671313374,0.34006232632932,0.218878029457546,0.0637407965129709,0.578130259302734,0.0606464271265077,0.239015482400896,0.0619704775154761,0.252756439539776,0.0914553119568018,0.0557393961793998,0.325310694963948,0.179841538521569,0.355629637102163,0.295876144585389,0.0887903089181491,0.17232421796745,0.489762132117876,0.102336997928171,0.0310485586772258,0.350468759344918,0.255348900001395
"6","NK cell",0,0,0.00232842810559457,0.0126613038071111,0.0155160467926426,0,0.00575427912059977,0,0,0.0173366662765942,0.00438250844540663,0.0132887143943595,0.0100832282613155,0,0.0136926810095918,0.000523363174155764,0.00623645915811778,0.0170334208293163,0.0102088523404012,0.00603086592302622,0,0,0.0725178088367062,0,0.00164358036620993,0.0152494178331824,0.00954718833104555,0,0,0.00604454497336508,0.00392570024210087,0.098447837947069,0.0103168465154919,0.004675043730722,0,0.0117557743487283,0,0.00635644814957292,0.0010226888390055,0.0165524294541342,0,0,0.0137879688262112,0.0038702043786549,0.0143108504166545,0.00142757320245783,0.00950041991957347,0.00619267901522792,0,0,0.0103091048352089,0.00377832016794598,0.174729192950895,0.00957329717227239,0.0175032661421565,0.00659348399379024,0.00573572654148355,0.0119923278782295,0.00995167693874664,0.0028458440345935,0.000453962649806367,0.00881042271698739,0.00531826831796084,0,0,0.0117506698639143,0
"7","T cell CD4+ (non-regulatory)",0.224234278856512,0.452290233449188,0.0877571665520644,0,0.133487770716126,0.492961002672875,0.195448533656359,0.10299516835404,0.869952998994149,0.125879317338624,0,0,0.323930709371822,0.206695676088842,0,0.0732895006505729,0.161276318913198,0,0,0.0524291626823119,0.190866351002838,0.124450159464415,0,0.426845332050625,0.164560028501358,0,0.11983249764932,0.287168632429282,0.452474242251325,0.229849182037729,0.0457899181582206,0.0620776224313512,0.0756642416429012,0.014476782597356,0.307932729472226,0,0.372583687629081,0,0.136259798601228,0,0.206408326189073,0.596995726891112,0.139555355805588,0.171375399591006,0.0323347659862727,0.0132827876578489,0,0.118550316988175,0.368617530409994,0.0985438785455929,0.101315714804769,0.162891660079671,0,0,0.075382394850477,0,0.00671581378776693,0,0.083091950537318,0.135927266101484,0.25184503690042,0.193224593195755,0.0327852574293716,0.156957860712028,0.401313429676275,0.0199164400777723,0.710298153724992
"8","T cell CD8+",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00200363148091705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00206413617825307,0,0,0,0,0,0,0,0,0
"9","T cell regulatory (Tregs)",0.00543049331979794,0.00670296135856682,0.00281704073391704,0.00682928624178945,0.00720201253720496,0.0182143890135891,0.0109855115063142,0.0026414153421805,0.0218061071961766,0.0087320862774938,0,0.00812548508742066,0.0117227280279104,0.00553567770178866,0.00954954750001298,0.00216685924217076,0.00937154538478927,0.00256903775313868,0.0109380353375439,0.00516634446183623,0.00046249385906791,0.00332691658352499,0,0.00888341560015605,0.00740472923549928,0.0108964989553617,0.00338988004203165,0.00858147778174986,0.0103465831572481,0.00480990025241683,0.00222270853168473,0,0.007799857775698,0,0.0103974597774872,0.000926988931112176,0.0127400973542894,0,0.00706038372476367,0.00806722758687795,0.00214493982070788,0.0134950736586247,0.0139847348907935,0.00522482289856653,0.00307429271025828,0,0.0025868121888519,0.00480448076198724,0.0074792314916401,0.00116221927086897,0.00810926073783041,0.00806099427552114,0,0.00639979412979405,0.00583883749901004,0.00105175471334609,0.00314939643337321,0.0119730962504611,0.00400771201863827,0.00223305533340773,0.0104223184458764,0.00811087593466706,0.000761360646362721,0.00712411459927529,0.00489746449865446,0.00177864948998486,0.00958794017060776
"10","Myeloid dendritic cell",0,0,0,0,0,0.0160297593298292,0.00107463914185959,0,0,0,0,0,0.00178139709791254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00197383046022758,0,0,0,0,0,0,0.00263755693072414,0,0,0.000436726209366234,0,0,0,0,0,0,0,0.000709088580953173,0,0.0323361257405452,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","uncharacterized cell",0.504454462280474,0.0326416131007017,0.444304537151785,0.648507366006058,0.548538737473012,0.414062904132216,0.651557349017919,0.309434445210417,0,0.575044103255273,0.581785962025094,0.7875871218504,0.519216483547761,0.571212497004157,0.675445988226547,0.320077213491494,0.565397481527376,0.722936808324031,0.782660057078414,0.681269152054802,0.616747425805631,0.687842018842542,0.654736830658573,0.170136496717005,0.605633635042349,0.749172558040644,0.547597435435148,0.536542389107523,0.314689905643492,0.581136786788077,0.373784931445481,0.667855898602705,0.742713198452877,0.242262515590075,0.331272522531858,0.534805788022011,0.513187631933087,0.52419605570437,0.713752084012444,0.808511965464536,0.213081753190653,0.131074695762364,0.636230850155815,0.402547145573292,0.667379543847851,0.700845603245845,0.618451188389262,0.608946658049321,0.461678057816417,0.298985576352281,0.738634420348392,0.53245234028009,0.540542583979943,0.680666409098085,0.718719281674802,0.773813026426302,0.583124515722996,0.732984446902514,0.518969318089805,0.486787402073924,0.600318162111632,0.574308838687048,0.437038359437382,0.680046122210861,0.494199109439415,0.578737038413802,0
