"","cell_type","T373","T342","T434","T32","T6","T314","T487","T71","T513","T286","T574","T595","T502","T229","T61","T69","T124","T186","T209","T34","T391","T659","T72","T399","T605","T10","T114","T201","T172","T509","T431","T496","T577","T18","T319","T265","T166","T78","T103","T178","T231","T334","T705","T198","T498","T283","T96","T661","T729","T123","T438","T375","T132","T318","T185","T273","T67","T160","T384","T585","T237","T54","T637","T515","T62","T84","T47"
"1","B cell",0,0.0444008099168999,0.006926212085774,0.030377893417036,0.0723936472609386,0.031778907144431,0.0288608364895056,0.044037213625157,0,0.0214654874310651,0.00222043653680032,0.0473014725111725,0.0443058270755789,0.0312454096325693,0.022116942532718,0.0298188579432346,0.0275192851996921,0.0974072985624166,0.0250092767478769,0,0.0250277644685481,0.0163186430419325,0.0208446098462511,0.0187466666767018,0,0.0277094842153617,0.0128276470169471,0,0.0204707180604973,0.00952474384453088,0,0.0477037364505335,0.0325206655954191,0.0235506700038944,0,0.0558367554449873,0.0599948292447274,0,0.0736948127258234,0.0409580357690425,0.00145310671415723,0.00777202001668291,0.0315921532961718,0.111690514017346,0.038077778877632,0.0604441980190424,0,0.0177870278886637,0,0.0618042539125424,0,0.0247283060802458,0.0134725601119821,0.0345511348865655,0.0334984370058614,0,0.0160685902458831,0.00557303506059541,0.0209999784920912,0.0289985971792809,0.0404471565299011,0.0368022505641348,0,0,0.0174251403678454,0,0.0453394124821821
"2","Macrophage M1",0,0,0,0,0,0,0.0132779431613048,0,0,0.0126641384618976,0,0,0.0163675602705896,0,0.0089071096274174,0.00259978108437024,0,0,0.000215134988962586,0,0.00445858352852165,0,7.30611255117049e-05,0.0111882827896362,0.00694247374239314,0,0,0,0,0.0166109615989311,0.00653273927774324,0.0435205863236744,0,0.0204972714206561,0,0,0,0,0.00526219903770812,0,0,0,0.00673759407407257,0.00194596524154629,0.0154498307431233,0,0.00230213425616888,0.00141702113277163,0,0,0.0217911374907016,0.00402157150761224,0,0.00211924358087312,0.000136993091330055,0,0,0.00450183989798583,0.00480817958362049,0.00271346650010531,0,0.0124171750016555,0,0,0,0.000868950662351503,0.0286117609960347
"3","Macrophage M2",0.0248077792972957,0.029342915267601,0.0236987931350698,0.0420906643474165,0.0419735212903596,0.0471995195158081,0.0668681983149849,0.0458464594141896,0.0931908955226705,0.0403475049383101,0.0448596244656423,0.0512297621884654,0.026045519204042,0.037151900914249,0.0631228767208248,0.0480087589808155,0.0309612018694492,0.0174012879355844,0.0619374756383623,0.0800562233083934,0.0362886691592416,0.0403270719928125,0.023614249110065,0.0539254785584819,0.0352398185586724,0.0293827720815902,0.0210570946025057,0.0553189090798509,0.00983643524989363,0.0196992067907028,0.0183016353516224,0.0829348796084496,0.0722456692931525,0.0457403890290935,0.041743507145801,0.0212806257675713,0.032844674410414,0.0361732683733787,0.0258948546091057,0.0676956340785934,0.0895222028163654,0.0350771712998198,0.0491363687936444,0.0405582244213796,0.026148768088396,0.073004330356653,0.0610121222689939,0.0317554686297672,0.0471627065346538,0.0477256670585696,0.0356329697506829,0.0384637266895811,0.042346876363146,0.0424285432777891,0.038732082078622,0.0457135715426822,0.0783699823700615,0.0306486996234584,0.0410983736668874,0.0441711773899999,0.0454127582525532,0.0447597778863377,0.0395482796458206,0.0290911550726564,0.0475454520603201,0.0414932604208796,0.0305596232546667
"4","Monocyte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Neutrophil",0.223383202237865,0.218391331488229,0.124205270947493,0.114002992918839,0.222139184214905,0.134065809480216,0.0893222679728383,0.0974865005378595,0.00555491216695792,0.0388704574766766,0.0547694168903738,0.0800789253851737,0.0507054191141176,0.0617513691123593,0.135591725926411,0.0285191326378982,0.103735369751255,0.0404507261878999,0.09422571100276,0.0210439291131476,0.0293770670685406,0.0224145628004384,0.18628722413084,0.0474665485786216,0.0455564754054821,0.236635631124379,0.221212788430246,0.0366981049309665,0.294703471351023,0.108024181923352,0.058633115384959,0.0503114459963426,0.116302329492678,0.0842526937735305,0.139811116011289,0.202861421680618,0.0271370769258537,0.00261588502590726,0.0378310334702995,0.0608920265548208,0.169452905646604,0.143420123666147,0.0927090167545008,0.066697710964915,0.0711729007334906,0.049073620866722,0.114717555957394,0.0641197417766751,0.00983763805937001,0.139482019771433,0.0457606439965099,0.0734803321741599,0.081811951545587,0.0896539998413326,0.161071269121077,0.0299807685689021,0.0735583798790234,0.0410751745567502,0.144030620634995,0.0557001594012415,0.1047008958654,0.0663378851947404,0.0771670607167524,0.115495182940305,0.0866866325494656,0.0590577452109801,0.0295154144211733
"6","NK cell",0,0.0130164006203597,0.00155989967820023,0,0.0137914721795753,0.00516864701501181,0.0141135612338415,0.00511517840495431,0,0.013892028366779,0,0,0.0126361504314475,0.0331941096529556,0.0111456172990351,0.0235001784796149,0.0116242486055871,0.00945983861768633,0.0253959223381023,0,0.00688700838899716,0.00344264630698698,0.00952678370047639,0.00424451393219466,0,0.0156274059206301,0.000957047525592975,0,0.0494298420547845,0.0109105106896041,0,0.028256545461945,0.0185517352817312,0.0289817352297306,0,0.00156653430841451,0,0,0.00866960628025332,0.13272873635483,0.113303611923311,0,0.0145788364816232,0.0190108579917499,0.0204421760547131,0.0231354101830683,0,0.0235318725591645,0,0.0152096538362946,0.0154379774651332,0.02473110560743,0.013988582155491,0.0259467925798399,0.0635807174369621,0.00214039772817258,0.0160533204821049,0.000723096886108833,0.00901307527290172,0.0216486769267473,0.0181345469330684,0.0280272752793725,0,0,0.0120429150564506,0,0.0229284103117899
"7","T cell CD4+ (non-regulatory)",0.613851776494868,0.111601817240605,0.129652680722273,0.240586405879761,0,0.260143078819375,0.12105636930435,0.145523270079255,0.603136963111652,0.226859580082643,0.275788452245114,0.302487179698582,0.144475726080173,0,0.106919519824283,0,0,0.251231636292209,0,0.343788592512393,0.1785209136768,0.153260101886349,0,0.18398283101218,0.542515300386946,0.073470608149806,0.234504314686645,0.268362534255289,0.124221356868135,0.114602448332454,0.402893890702808,0.00508012094200667,0,0.143068435518767,0.511742939245746,0.093179956513356,0.255973836602978,0.726738674749558,0.0462742707526897,0,0.105068732151753,0.246787276188697,0,0,0.00828005204957185,0,0.398031190495686,0,0.477438061571768,0,0.252157865822724,0,0.13282528699982,0,0.0336472519833958,0.217159284163256,0.109482129325357,0.310873221719977,0.11578325588318,0.0526329779319052,0,0,0.463415329037382,0.21991176157723,0.0842256264028715,0.606262139633841,0
"8","T cell CD8+",0,0,0,0,0,0,0.00504807601120561,0,0,0,0,0,0.00836905214484134,0.00103341525726357,0,0.00547628856225941,0,0,0.00159795493327945,0,0,0,0,0,0,0,0,0,0,0,0,0.0193332585118826,0,0.00408233837716067,0,0,0,0,0,0,0,0,0.00499176635973837,0,0.00996128205752055,0,0,0.00312896975867581,0,0,0,0.0023837047494669,0,0,0,0,0,0,0,0.00380167062109533,0,0.0166976021747768,0,0,0,0,0.00702880343136568
"9","T cell regulatory (Tregs)",0.00862760853238616,0.0036102508877231,0.0110498562867597,0.00828117758820343,0.00105550072615891,0.0064664564907949,0.0149378580253047,0.0109918707288276,0.0221060521490404,0.0256629166202537,0.0104706928915359,0.00860345771808308,0.0171364536385927,0.0123321337876103,0.0141198576558194,0.0287670816372438,0.00775551236064968,0,0.0184389846106017,0.0151824190793246,0.00970416139232569,0.0167451211608027,0.0127339855981711,0.00938451602863655,0.0194255993072223,0.00589573256739839,0.00589676756784356,0.0195200384252503,0,0.00773891863042332,0.0167296884361097,0.0484995893073802,0.0192566095861512,0.0123559648738946,0.0129860228990571,0.00153957907563864,0.00289271051568084,0.0207424190337813,0.00377913305888222,0,0,0.00621245531357081,0.0207862241224299,0.00174313309244691,0.00869529497813454,0.00936056577751052,0.0211726491593971,0.0151097288722043,0.0189460924911958,0.00891548240351527,0.0187540128260531,0.015596551945689,0.00661503889637358,0.0166226918184046,0,0.0110688380632109,0.0123936103922945,0.0121612011903828,0.00966319645898944,0.0138967947077723,0.00709741749191717,0.0191380729343947,0.0171645378440773,0.00715231809918684,0.012267820930017,0.0163157242178723,0.0378336769435641
"10","Myeloid dendritic cell",0,0,0.00117996784547217,0,0,0,0.0072857540825714,0,0,0.0170211732684378,0,0,0.00970791439105356,0.0120125815648333,0,0.015215152562733,0,0.0187209533086947,0,0,0.0082108415499364,0.00486349080788084,0,0.00143933605544841,0.00698766354288062,0,0,0,0,0,0.00410067437683175,0.0296693464962052,0,0.0079376243311314,0,0,0.00109985679842144,0,0.017321889378935,0,0,0,0.000419511684288735,0.00910658899174658,0.00332966026512702,0,0,0.011180904056352,0.00294308720871952,0,0.00978340623256884,0.00521402329488139,0,0.00302144085045995,0,0.00476810565236154,0,0.00758491498022333,0,0.00289221436329544,0,0.0141373950747305,0,0,0,0,0.0266578272005304
